HGNC_ID	Approved_symbol	Approved_name	Status	Locus_type	Previous_symbols	Alias_symbols	Chromosome	NCBI_Gene_ID	Ensembl_gene_ID	Vega_gene_ID	Group_ID	Group_name
HGNC:17040	CASC3	CASC3 exon junction complex subunit	Approved	gene with protein product		MLN51, BTZ	17q21.1	22794	ENSG00000108349	OTTHUMG00000133323	1238	Exon junction complex
HGNC:18683	EIF4A3	eukaryotic translation initiation factor 4A3	Approved	gene with protein product	DDX48	KIAA0111, EIF4AIII, Fal1	17q25.3	9775	ENSG00000141543	OTTHUMG00000177538	1238	Exon junction complex
HGNC:6815	MAGOH	mago homolog, exon junction complex subunit	Approved	gene with protein product		MAGOHA, MAGOH1	1p32.3	4116	ENSG00000162385	OTTHUMG00000008932	1238	Exon junction complex
HGNC:25504	MAGOHB	mago homolog B, exon junction complex subunit	Approved	gene with protein product		FLJ10292, MGN2	12p13.2	55110	ENSG00000111196	OTTHUMG00000168407	1238	Exon junction complex
HGNC:9905	RBM8A	RNA binding motif protein 8A	Approved	gene with protein product	RBM8	ZNRP, BOV-1A, BOV-1B, BOV-1C, RBM8B, Y14	1q21.1	9939	ENSG00000265241	OTTHUMG00000013736	1238	Exon junction complex
HGNC:20472	LSM1	LSM1 homolog, mRNA degradation associated	Approved	gene with protein product		CASM, YJL124C	8p11.23	27257	ENSG00000175324	OTTHUMG00000164051	1505	LSm proteins
HGNC:17562	LSM10	LSM10, U7 small nuclear RNA associated	Approved	gene with protein product		MGC15749	1p34.3	84967	ENSG00000181817	OTTHUMG00000008140	1505	LSm proteins
HGNC:30860	LSM11	LSM11, U7 small nuclear RNA associated	Approved	gene with protein product		FLJ38273	5q33.3	134353	ENSG00000155858	OTTHUMG00000130255	1505	LSm proteins
HGNC:26407	LSM12	LSM12 homolog	Approved	gene with protein product		FLJ30656	17q21.31	124801	ENSG00000161654	OTTHUMG00000181804	1505	LSm proteins
HGNC:24489	LSM14A	LSM14A mRNA processing body assembly factor	Approved	gene with protein product	C19orf13, FAM61A	DKFZP434D1335, RAP55A, RAP55	19q13.11	26065	ENSG00000257103	OTTHUMG00000180491	1505	LSm proteins
HGNC:15887	LSM14B	LSM family member 14B	Approved	gene with protein product	C20orf40, FAM61B	FT005, bA11M20.3, FLJ25473, LSM13, RAP55B	20q13.33	149986	ENSG00000149657	OTTHUMG00000032901	1505	LSm proteins
HGNC:13940	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated	Approved	gene with protein product	C6orf28	G7b, YBL026W	6p21.33	57819	ENSG00000204392	OTTHUMG00000031121	1505	LSm proteins
HGNC:17874	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	Approved	gene with protein product		YLR438C, SMX4, USS2	3p25.1	27258	ENSG00000170860	OTTHUMG00000129838	1505	LSm proteins
HGNC:17259	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated	Approved	gene with protein product		YER112W	19p13.11	25804	ENSG00000130520	OTTHUMG00000183357	1505	LSm proteins
HGNC:17162	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	Approved	gene with protein product		YER146W	7p14.3	23658	ENSG00000106355	OTTHUMG00000022913	1505	LSm proteins
HGNC:17017	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	Approved	gene with protein product		YDR378C	4q31.22	11157	ENSG00000164167	OTTHUMG00000161440	1505	LSm proteins
HGNC:20470	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	Approved	gene with protein product		YNL147W	19p13.3	51690	ENSG00000130332	OTTHUMG00000180441	1505	LSm proteins
HGNC:20471	LSM8	LSM8 homolog, U6 small nuclear RNA associated	Approved	gene with protein product		YJR022W	7q31.31	51691	ENSG00000128534	OTTHUMG00000156956	1505	LSm proteins
HGNC:28212	NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit	Approved	gene with protein product	LSMD1	MGC14151, PFAAP2	17p13.1	84316	ENSG00000183011	OTTHUMG00000178023	1505	LSm proteins
HGNC:975	BCAS2	BCAS2 pre-mRNA processing factor	Approved	gene with protein product		DAM1, SPF27, Snt309	1p13.2	10286	ENSG00000116752	OTTHUMG00000011898	1361	NineTeen complex
HGNC:1743	CDC5L	cell division cycle 5 like	Approved	gene with protein product		PCDC5RP, hCDC5, CEF1, CDC5	6p21.1	988	ENSG00000096401	OTTHUMG00000014767	1361	NineTeen complex
HGNC:15879	CTNNBL1	catenin beta like 1	Approved	gene with protein product	C20orf33	FLJ21108, P14L, P14, NAP, NYD-SP19	20q11.23	56259	ENSG00000132792	OTTHUMG00000032428	1361	NineTeen complex
HGNC:26939	CWC15	CWC15 spliceosome associated protein homolog	Approved	gene with protein product		C11orf5, HSPC148, Cwf15, AD002	11q21	51503	ENSG00000150316	OTTHUMG00000181616	1361	NineTeen complex
HGNC:9089	PLRG1	pleiotropic regulator 1	Approved	gene with protein product		PRL1, Prp46, PRPF46, Cwc1, TANGO4	4q31.3	5356	ENSG00000171566	OTTHUMG00000161411	1361	NineTeen complex
HGNC:17896	PRPF19	pre-mRNA processing factor 19	Approved	gene with protein product	PRP19	UBOX4, NMP200, PSO4, hPSO4, SNEV	11q12.2	27339	ENSG00000110107	OTTHUMG00000167798	1361	NineTeen complex
HGNC:10765	SF3A1	splicing factor 3a subunit 1	Approved	gene with protein product		SF3a120, SAP114, PRPF21, Prp21	22q12.2	10291	ENSG00000099995	OTTHUMG00000151005	1555	SF3a complex
HGNC:10766	SF3A2	splicing factor 3a subunit 2	Approved	gene with protein product		SF3a66, SAP62, PRPF11, Prp11	19p13.3	8175	ENSG00000104897	OTTHUMG00000180414	1555	SF3a complex
HGNC:10767	SF3A3	splicing factor 3a subunit 3	Approved	gene with protein product		SF3a60, SAP61, PRP9, PRPF9	1p34.3	10946	ENSG00000183431	OTTHUMG00000004438	1555	SF3a complex
HGNC:18000	PHF5A	PHD finger protein 5A	Approved	gene with protein product		MGC1346, SF3b14b, INI, bK223H9.2, Rds3, SAP14b, SF3B7	22q13.2	84844	ENSG00000100410	OTTHUMG00000150966	1517	SF3b complex
HGNC:10768	SF3B1	splicing factor 3b subunit 1	Approved	gene with protein product		SAP155, SF3b155, PRPF10, Prp10, Hsh155	2q33.1	23451	ENSG00000115524	OTTHUMG00000154447	1517	SF3b complex
HGNC:10769	SF3B2	splicing factor 3b subunit 2	Approved	gene with protein product		SAP145, SF3b1, Cus1, SF3b145	11q13.1	10992	ENSG00000087365	OTTHUMG00000166751	1517	SF3b complex
HGNC:10770	SF3B3	splicing factor 3b subunit 3	Approved	gene with protein product		SAP130, SF3b130, RSE1, KIAA0017	16q22.1	23450	ENSG00000189091	OTTHUMG00000137582	1517	SF3b complex
HGNC:10771	SF3B4	splicing factor 3b subunit 4	Approved	gene with protein product		SAP49, SF3b49, Hsh49	1q21.2	10262	ENSG00000143368	OTTHUMG00000012208	1517	SF3b complex
HGNC:21083	SF3B5	splicing factor 3b subunit 5	Approved	gene with protein product		SF3b10, MGC3133, Ysf3	6q24.2	83443	ENSG00000169976	OTTHUMG00000015737	1517	SF3b complex
HGNC:30096	SF3B6	splicing factor 3b subunit 6	Approved	gene with protein product		P14, SF3B14a, Ht006, CGI-110, SAP14a	2p23.3	51639	ENSG00000115128	OTTHUMG00000125499	1517	SF3b complex
HGNC:11153	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	Approved	gene with protein product	SNRPB1	COD, SmB/SmB', Sm-B/B', snRNP-B	20p13	6628	ENSG00000125835	OTTHUMG00000031694	1255	Sm spliceosomal proteins
HGNC:11158	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide	Approved	gene with protein product	SNRPD	HsT2456, Sm-D1	18q11.2	6632	ENSG00000167088	OTTHUMG00000178934	1255	Sm spliceosomal proteins
HGNC:11159	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide	Approved	gene with protein product	SNRPD1	Sm-D2	19q13.2-q13.3	6633	ENSG00000125743	OTTHUMG00000182130	1255	Sm spliceosomal proteins
