label	observed	mean_expected	enrichment	p_value	system
GWAS: Systemic sclerosis (anti-topoisomerase-positive)	4	0.1148	34.84320557491289	9.999000099990002e-05	other
GWAS: Helicobacter pylori serologic status	3	0.1442	20.80443828016644	0.0002999700029997	immune
GWAS: Diabetes in response to antihypertensive drug treatment (treatment strategy interaction)	3	0.0891	33.67003367003367	0.0002999700029997	metabolic
GWAS: Coagulation factor levels	3	0.1221	24.57002457002457	0.0003999600039996	hematologic
GWAS: Asthma and hay fever	4	0.4007	9.982530571499876	0.0005999400059994	respiratory
GWAS: Allergy	5	0.5512	9.071117561683598	0.0005999400059994	immune
GWAS: Serum alkaline phosphatase levels	5	0.6645	7.524454477050414	0.000999900009999	other
GWAS: Elevated serum carcinoembryonic antigen levels	2	0.0708	28.248587570621467	0.001999800019998	other
GWAS: Tumor biomarkers	2	0.0786	25.44529262086514	0.0023997600239976	immune
GWAS: Metabolic syndrome (multivariate analysis)	2	0.0785	25.477707006369428	0.0025997400259974	metabolic
GWAS: Prostate cancer	13	5.4826	2.371137781344617	0.0036996300369963	reproductive
GWAS: Liver enzyme levels	3	0.3172	9.457755359394705	0.003999600039996	other
GWAS: Soluble interleukin-2 receptor subunit alpha	3	0.3193	9.395552771688068	0.0041995800419958	immune
GWAS: End-stage coagulation	2	0.1	20.0	0.0044995500449955	hematologic
GWAS: Circulating fibroblast growth factor 23 levels	3	0.3076	9.75292587776333	0.0044995500449955	other
GWAS: P wave terminal force	2	0.1109	18.034265103697024	0.0046995300469953	cardiovascular
GWAS: Urinary metabolites (H-NMR features)	2	0.1083	18.467220683287167	0.0048995100489951	metabolic
GWAS: Lipid traits	4	0.7419	5.391562205148942	0.0055994400559944	metabolic
GWAS: Sjogren's syndrome	6	1.5742	3.811459789099225	0.0065993400659934	immune
GWAS: Limited cutaneous systemic scleroderma	3	0.4181	7.175316909830184	0.0083991600839916	integumentary
GWAS: Graves' disease	4	0.8502	4.704775346977182	0.0097990200979902	endocrine
GWAS: Two-hour glucose challenge	2	0.155	12.903225806451614	0.0105989401059894	metabolic
GWAS: Lactate dehydrogenase levels	3	0.4534	6.616674018526687	0.0106989301069893	metabolic
GWAS: Blood metabolite ratios	4	0.8182	4.888780249327793	0.0111988801119888	metabolic
