label	observed	mean_expected	enrichment	p_value	system
HPO: Shoulder girdle muscle weakness (HP:0003547)	3	0.2542	11.801730920535013	0.0020997900209979	skeletal muscle
HPO: Abnormality of the hip-girdle musculature (HP:0001445)	3	0.2542	11.801730920535013	0.0020997900209979	skeletal muscle
HPO: Pelvic girdle muscle weakness (HP:0003749)	3	0.2542	11.801730920535013	0.0020997900209979	skeletal muscle
HPO: Abnormality of the musculature of the pelvis (HP:0001469)	3	0.2542	11.801730920535013	0.0020997900209979	skeletal muscle
HPO: Neurodegeneration (HP:0002180)	2	0.0727	27.51031636863824	0.0025997400259974	nervous
HPO: Increased serum lactate (HP:0002151)	4	0.6754	5.922416345869115	0.0041995800419958	other
HPO: Glossoptosis (HP:0000162)	2	0.1031	19.398642095053347	0.0062993700629937	other
HPO: Rimmed vacuoles (HP:0003805)	3	0.4365	6.872852233676976	0.0101989801019898	skeletal muscle
HPO: Aplasia/Hypoplasia of the lens (HP:0008063)	2	0.1792	11.160714285714286	0.0148985101489851	nervous
HPO: Limb-girdle muscle weakness (HP:0003325)	3	0.5207	5.761474937584021	0.015998400159984	skeletal muscle
HPO: Pallor (HP:0000980)	4	0.9607	4.163630685958156	0.0167983201679832	integumentary
HPO: Abnormality of reticulocytes (HP:0004312)	4	1.0084	3.9666798889329633	0.0180981901809819	immune
HPO: Tracheoesophageal fistula (HP:0002575)	4	1.0531	3.798309752160289	0.0212978702129787	respiratory
HPO: Trismus (HP:0000211)	2	0.2372	8.431703204047217	0.0220977902209779	skeletal muscle
HPO: Fasciculations (HP:0002380)	2	0.2447	8.173273395995096	0.0244975502449755	skeletal muscle
HPO: Hepatosplenomegaly (HP:0001433)	2	0.24	8.333333333333334	0.0248975102489751	digestive
HPO: Abnormal trabecular bone morphology (HP:0100671)	2	0.2306	8.673026886383347	0.0255974402559744	skeletal
HPO: Decreased number of large peripheral myelinated nerve fibers (HP:0003387)	2	0.2509	7.971303308090873	0.0256974302569743	nervous
HPO: Spinal rigidity (HP:0003306)	3	0.6528	4.595588235294118	0.0275972402759724	skeletal
HPO: Full cheeks (HP:0000293)	3	0.6504	4.612546125461255	0.0283971602839716	other
HPO: Breast hypoplasia (HP:0003187)	2	0.2742	7.293946024799417	0.0291970802919708	reproductive
