label	observed	mean_expected	enrichment	p_value	system
GWAS: Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)	2	0.0864	23.148148148148145	0.0032996700329967	other
GWAS: Eosinophilic esophagitis	2	0.1352	14.792899408284024	0.0078992100789921	immune
GWAS: Hypertriglyceridemia	2	0.1407	14.214641080312722	0.0090990900909909	metabolic
GWAS: Serum albumin level	3	0.4424	6.78119349005425	0.0108989101089891	other
GWAS: Brain imaging	2	0.1692	11.82033096926714	0.0108989101089891	nervous
GWAS: Cold medicine-related SJS/TEN with severe ocular complications	1	0.0112	89.28571428571429	0.0112988701129887	other
GWAS: Protein C levels	1	0.0119	84.03361344537815	0.0117988201179882	other
GWAS: Lipoprotein-associated phospholipase A2 activity and mass	1	0.0119	84.03361344537815	0.0117988201179882	metabolic
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)	2	0.1727	11.580775911986104	0.0127987201279872	other
GWAS: Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	1	0.0161	62.11180124223603	0.015998400159984	immune
GWAS: Chemerin levels	2	0.1903	10.509721492380452	0.0167983201679832	other
GWAS: Endometrial endometrioid carcinoma	2	0.2171	9.21234454168586	0.0181981801819818	reproductive
GWAS: Midgestational circulating levels of PCBs	3	0.5709	5.254860746190226	0.0186981301869813	reproductive
GWAS: Branched-chain amino acid levels (Isoleucine)	1	0.0211	47.39336492890995	0.020997900209979	other
GWAS: Triglycerides-Blood Pressure (TG-BP)	1	0.0224	44.642857142857146	0.0221977802219778	metabolic
GWAS: Creatine kinase levels	3	0.6217	4.825478526620556	0.023997600239976	other
GWAS: Glaucoma	4	1.0952	3.652300949598247	0.0243975602439756	nervous
GWAS: Carotid plaque burden (smoking interaction)	1	0.0258	38.75968992248062	0.0257974202579742	cardiovascular
GWAS: Caffeine consumption	1	0.0267	37.45318352059925	0.0263973602639736	behavior
GWAS: Red vs. brown/black hair color	2	0.2535	7.889546351084813	0.0271972802719728	integumentary
GWAS: Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	1	0.032	31.25	0.0316968303169683	immune
GWAS: Lung function (FEV1)	4	1.2301	3.251768148930981	0.032996700329967	respiratory
GWAS: Two-hour glucose challenge	1	0.0335	29.850746268656717	0.0330966903309669	metabolic
GWAS: Ability to confide in someone	2	0.2939	6.805035726437564	0.0333966603339666	behavior
GWAS: circulating leptin levels adjusted for BMI	1	0.0373	26.80965147453083	0.0365963403659634	metabolic
GWAS: Waist Circumference - Triglycerides (WC-TG)	1	0.0372	26.881720430107528	0.0367963203679632	skeletal
GWAS: C-reactive protein levels or triglyceride levels (pleiotropy)	1	0.0381	26.246719160104984	0.0375962403759624	immune
GWAS: Diabetes in response to antihypertensive drug treatment (treatment strategy interaction)	1	0.0391	25.57544757033248	0.0387961203879612	metabolic
GWAS: Chronic inflammatory diseases (pleiotropy)	5	1.8223	2.7437853262360754	0.0392960703929607	immune
GWAS: Metabolic syndrome (multivariate analysis)	1	0.0429	23.31002331002331	0.0416958304169583	metabolic
GWAS: Paget's disease	1	0.0428	23.36448598130841	0.0420957904209579	skeletal
GWAS: Alcohol consumption in current drinkers	1	0.0443	22.573363431151243	0.0430956904309569	behavior
GWAS: Caffeine metabolism (plasma paraxanthine caffeine ratio)	1	0.0447	22.371364653243848	0.0435956404359564	metabolic
GWAS: Low tan response	2	0.3397	5.88754783632617	0.0446955304469553	integumentary
GWAS: Response to fenofibrate	2	0.3309	6.044122091266243	0.0455954404559544	other
GWAS: Asthma and hay fever	2	0.3522	5.6785917092561045	0.0492950704929507	respiratory
GWAS: Serum alkaline phosphatase levels	2	0.3741	5.346164127238707	0.0511948805119488	other
GWAS: Feeling worry	3	0.8351	3.5923841456113044	0.0520947905209479	behavior
GWAS: Glycemic traits (pregnancy)	1	0.0555	18.01801801801802	0.0541945805419458	metabolic
GWAS: circulating leptin levels	1	0.059	16.949152542372882	0.0570942905709429	metabolic
