label	observed	mean_expected	enrichment	p_value	system
HPO: Oligohydramnios (HP:0001562)	5	0.7626	6.556517178075007	0.0011998800119988	reproductive
HPO: Difficulty climbing stairs (HP:0003551)	3	0.283	10.60070671378092	0.0026997300269973	other
HPO: Recurrent lower respiratory tract infections (HP:0002783)	3	0.3389	8.852168781351432	0.0063993600639936	immune
HPO: Muscle fibrillation (HP:0010546)	2	0.1343	14.892032762472075	0.0084991500849915	skeletal muscle
HPO: Tubulointerstitial abnormality (HP:0001969)	3	0.4835	6.204756980351603	0.0106989301069893	urinary
HPO: Recurrent viral infections (HP:0004429)	2	0.1734	11.534025374855824	0.0121987801219878	immune
HPO: Recurrent fungal infections (HP:0002841)	2	0.1873	10.678056593699948	0.0135986401359864	immune
HPO: Shoulder girdle muscle weakness (HP:0003547)	2	0.1785	11.204481792717088	0.014998500149985	skeletal muscle
HPO: Abnormality of the hip-girdle musculature (HP:0001445)	2	0.1785	11.204481792717088	0.014998500149985	skeletal muscle
HPO: Abnormality of the musculature of the pelvis (HP:0001469)	2	0.1785	11.204481792717088	0.014998500149985	skeletal muscle
HPO: Pelvic girdle muscle weakness (HP:0003749)	2	0.1785	11.204481792717088	0.014998500149985	skeletal muscle
HPO: Prominent nasal bridge (HP:0000426)	5	1.4467	3.456141563558443	0.0150984901509849	integumentary
HPO: Abnormal enzyme/coenzyme activity (HP:0012379)	2	0.2008	9.9601593625498	0.0157984201579842	other
HPO: Elevated alkaline phosphatase (HP:0003155)	2	0.2008	9.9601593625498	0.0157984201579842	other
HPO: Abnormality of alkaline phosphatase activity (HP:0004379)	2	0.2008	9.9601593625498	0.0157984201579842	other
HPO: Abnormality of the renal cortex (HP:0011035)	2	0.2061	9.70402717127608	0.016998300169983	urinary
HPO: Specific learning disability (HP:0001328)	2	0.2145	9.324009324009324	0.0184981501849815	other
HPO: Pulmonary hypoplasia (HP:0002089)	4	1.0258	3.899395593682979	0.0196980301969803	respiratory
HPO: Fasciculations (HP:0002380)	2	0.2304	8.680555555555555	0.0221977802219778	skeletal muscle
HPO: Tongue fasciculations (HP:0001308)	1	0.0226	44.24778761061947	0.0222977702229777	nervous
HPO: Abnormality of the renal medulla (HP:0100957)	3	0.6081	4.93339911198816	0.0231976802319768	urinary
HPO: Cardiomegaly (HP:0001640)	2	0.2221	9.0049527239982	0.0237976202379762	cardiovascular
HPO: Recurrent pneumonia (HP:0006532)	2	0.2437	8.206811653672549	0.0248975102489751	immune
HPO: Abnormality of the lumbar spine (HP:0100712)	1	0.0261	38.31417624521072	0.0258974102589741	skeletal
HPO: Muscle fiber splitting (HP:0003555)	2	0.2587	7.730962504831852	0.0271972802719728	skeletal muscle
HPO: Wide nose (HP:0000445)	3	0.6495	4.618937644341802	0.0286971302869713	skeletal
HPO: Increased serum lactate (HP:0002151)	3	0.7111	4.218815918998734	0.032996700329967	other
