label	observed	mean_expected	enrichment	p_value	system
GWAS: Blood metabolite ratios	5	0.3616	13.827433628318586	0.0001999800019998	metabolic
GWAS: Blood metabolite levels	7	1.6196	4.32205482835268	0.0011998800119988	metabolic
GWAS: Urinary metabolite concentrations in chronic kidney disease	4	0.5941	6.732873253661	0.0030996900309969	metabolic
GWAS: Response to metformin (IC50)	2	0.0815	24.539877300613497	0.0036996300369963	other
GWAS: Calcium levels	6	1.5854	3.784533871578151	0.0048995100489951	other
GWAS: Serum metabolite levels	4	0.6956	5.750431282346176	0.0056994300569943	metabolic
GWAS: Ulcerative colitis	12	4.9937	2.4030278150469595	0.0066993300669933	digestive
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	2	0.1171	17.079419299743808	0.0068993100689931	other
GWAS: Blood protein levels	30	18.3896	1.6313568538739287	0.0076992300769923	other
GWAS: White blood cell count	9	3.4131	2.636899006768041	0.007999200079992	immune
GWAS: Common carotid intima-media thickness in HIV negative individuals	5	1.2169	4.108801051853069	0.0082991700829917	cardiovascular
GWAS: Electroencephalogram traits	3	0.4217	7.11406212947593	0.0083991600839916	nervous
GWAS: Menstruation quality of life impact (dysmenorrhea)	1	0.0113	88.49557522123894	0.0113988601139886	reproductive
GWAS: Pain medicine use during menstruation	1	0.0113	88.49557522123894	0.0113988601139886	reproductive
GWAS: Metabolic traits	3	0.4563	6.574621959237344	0.0115988401159884	metabolic
GWAS: Biomedical quantitative traits	2	0.1604	12.468827930174564	0.0116988301169883	other
GWAS: Hippocampal volume in mild cognitive impairment	3	0.4859	6.174109899156205	0.0126987301269873	nervous
GWAS: Alzheimer's disease (late onset)	7	2.4522	2.854579561210342	0.0136986301369863	nervous
GWAS: Thyroid cancer	2	0.1815	11.019283746556477	0.0142985701429857	endocrine
GWAS: Waist-to-hip ratio adjusted for BMI (age >50)	5	1.4221	3.5159271499894524	0.0146985301469853	skeletal
GWAS: Hypertriglyceridemia	2	0.188	10.638297872340424	0.0154984501549845	metabolic
GWAS: TB-LM or TBLH-BMD (pleiotropy)	2	0.1899	10.5318588730911	0.015998400159984	skeletal muscle
GWAS: Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	2	0.1919	10.422094841063055	0.0162983701629837	other
GWAS: Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)	2	0.1968	10.16260162601626	0.0167983201679832	other
GWAS: Waist Circumference - Triglycerides (WC-TG)	1	0.0177	56.49717514124293	0.0177982201779822	skeletal
GWAS: Epilepsy and lamotrigine-induced maculopapular eruptions	3	0.583	5.145797598627787	0.0191980801919808	nervous
GWAS: Vitamin B levels in ischemic stroke	2	0.2124	9.416195856873824	0.0206979302069793	other
GWAS: Prostate cancer	9	4.0721	2.21016183296088	0.020997900209979	reproductive
GWAS: HDL Cholesterol - Triglycerides (HDLC-TG)	1	0.0222	45.04504504504504	0.0220977902209779	metabolic
GWAS: Heart rate response to recovery post exercise (10 sec)	3	0.5993	5.005840146837977	0.0232976702329767	cardiovascular
GWAS: Vitamin B12 levels	1	0.0245	40.81632653061224	0.0243975602439756	other
GWAS: Vitamin E levels	1	0.0245	40.81632653061224	0.0244975502449755	other
GWAS: Triglycerides	7	2.8242	2.478578004390624	0.0260973902609739	metabolic
GWAS: Estradiol levels	2	0.256	7.8125	0.0265973402659734	endocrine
GWAS: Triglycerides-Blood Pressure (TG-BP)	1	0.03	33.333333333333336	0.0297970202979702	metabolic
GWAS: Cognitive flexibility	1	0.0304	32.89473684210526	0.0302969703029697	nervous
GWAS: Red blood cell fatty acid levels	2	0.2648	7.552870090634442	0.0304969503049695	hematologic
GWAS: Body mass index (adult)	2	0.2698	7.412898443291327	0.0312968703129687	metabolic
GWAS: Ischemic stroke	4	1.1806	3.38810774182619	0.0317968203179682	cardiovascular
GWAS: QT interval (drug interaction)	4	1.2253	3.2645066514323022	0.0367963203679632	cardiovascular
GWAS: Waist circumference	7	3.1032	2.2557360144367102	0.0383961603839616	skeletal
GWAS: Visceral adipose tissue adjusted for BMI	4	1.2976	3.0826140567200984	0.0411958804119588	metabolic
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)	2	0.3243	6.167129201356769	0.0425957404259574	other
GWAS: vWF and FVIII levels	2	0.3208	6.234413965087282	0.0428957104289571	hematologic
GWAS: Stroke	4	1.3397	2.985743076808241	0.0440955904409559	cardiovascular
GWAS: Delirium	3	0.7989	3.755163349605708	0.0441955804419558	behavior
GWAS: Lymphocyte counts	7	3.1934	2.1920210434020166	0.0442955704429557	lymphatic
GWAS: Malaria	1	0.0457	21.88183807439825	0.0450954904509549	immune
GWAS: Bone mineral density (paediatric, skull)	2	0.3251	6.151953245155337	0.0454954504549545	skeletal
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	2	0.3311	6.040471156750226	0.0458954104589541	other
GWAS: Liver enzyme levels (alkaline phosphatase)	2	0.3363	5.947071067499257	0.0466953304669533	other
GWAS: Urinary magnesium-to-creatinine ratio	1	0.0475	21.05263157894737	0.0471952804719528	metabolic
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)	2	0.3599	5.5570991942206165	0.0514948505149485	other
GWAS: Subjective response to lithium treatment in bipolar disorder	1	0.0564	17.73049645390071	0.0555944405559444	other
GWAS: Borderline personality disorder	3	0.8572	3.499766682221185	0.0575942405759424	behavior
GWAS: Uterine fibroid number (single vs multiple)	3	0.8508	3.5260930888575457	0.0584941505849415	reproductive
GWAS: Serum parathyroid hormone levels	1	0.0598	16.722408026755854	0.0585941405859414	endocrine
GWAS: Body mass index (age>50)	4	1.4538	2.7514100976750586	0.0595940405959404	metabolic
GWAS: Testicular germ cell tumor	3	0.8805	3.4071550255536627	0.0610938906109389	reproductive
GWAS: Gout	5	2.1312	2.346096096096096	0.0620937906209379	skeletal
GWAS: C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	2	0.4102	4.875670404680643	0.0626937306269373	immune
GWAS: Suffering from nerves	1	0.0661	15.1285930408472	0.0646935306469353	behavior
GWAS: Thiopurine-induced leukopenia in inflammatory bowel disease	1	0.0745	13.422818791946307	0.0723927607239276	other
GWAS: Diastolic blood pressure night-to-day ratio in hypertension	1	0.0756	13.227513227513228	0.0724927507249275	cardiovascular
GWAS: Telomere length	3	0.9504	3.156565656565657	0.0734926507349265	other
GWAS: Interferon alpha levels in systemic lupus erythematosus	2	0.4373	4.57351932311914	0.0737926207379262	immune
GWAS: Entorhinal cortical thickness	1	0.0765	13.0718954248366	0.0740925907409259	nervous
GWAS: Monocyte count	6	2.9526	2.03210729526519	0.0782921707829217	immune
GWAS: Serum bilirubin levels x Mediterranean diet adherence interaction in metabolic syndrome	2	0.4586	4.361098996947231	0.0792920707929207	digestive
GWAS: Urinary metabolite ratios in chronic kidney disease	1	0.0848	11.79245283018868	0.0813918608139186	metabolic
GWAS: HIV-1 susceptibility	2	0.4728	4.230118443316413	0.0816918308169183	immune
GWAS: Facial morphology	1	0.086	11.627906976744187	0.0827917208279172	skeletal
GWAS: Suicide behavior	1	0.0904	11.061946902654867	0.085991400859914	behavior
