label	observed	mean_expected	enrichment	p_value	system
HPO: Dyschromatopsia (HP:0007641)	2	0.0515	38.83495145631069	0.0010998900109989	nervous
HPO: Malignant hyperthermia (HP:0002047)	3	0.1967	15.25165226232842	0.0013998600139986	immune
HPO: Polydipsia (HP:0001959)	2	0.0588	34.013605442176875	0.0014998500149985	other
HPO: Abnormal drinking behavior (HP:0030082)	2	0.0588	34.013605442176875	0.0014998500149985	behavior
HPO: Choroideremia (HP:0001139)	2	0.06	33.333333333333336	0.0017998200179982	nervous
HPO: Macular degeneration (HP:0000608)	3	0.2783	10.779734099892202	0.001999800019998	nervous
HPO: Spinal rigidity (HP:0003306)	3	0.2679	11.19820828667413	0.0028997100289971	skeletal
HPO: Zonular cataract (HP:0010920)	2	0.0925	21.62162162162162	0.002999700029997	nervous
HPO: Tetany (HP:0001281)	2	0.0777	25.74002574002574	0.0030996900309969	endocrine
HPO: Decreased central vision (HP:0007663)	2	0.0884	22.62443438914027	0.0032996700329967	nervous
HPO: Paralysis (HP:0003470)	2	0.0901	22.197558268590456	0.0032996700329967	nervous
HPO: Hypomagnesemia (HP:0002917)	2	0.0879	22.753128555176332	0.0037996200379962	other
HPO: Nephritis (HP:0000123)	3	0.3236	9.27070457354759	0.0042995700429957	urinary
HPO: Asthma (HP:0002099)	5	1.0304	4.85248447204969	0.0042995700429957	respiratory
HPO: Abnormality of magnesium homeostasis (HP:0004921)	2	0.0949	21.074815595363543	0.0043995600439956	other
HPO: Type II diabetes mellitus (HP:0005978)	7	2.1667	3.2307195273918863	0.0062993700629937	metabolic
HPO: Progressive sensorineural hearing impairment (HP:0000408)	2	0.1266	15.797788309636651	0.0067993200679932	nervous
HPO: Arthralgia (HP:0002829)	5	1.1766	4.249532551419343	0.0074992500749925	skeletal
HPO: Polyuria (HP:0000103)	2	0.1366	14.641288433382138	0.0087991200879912	urinary
HPO: Abnormal urine output (HP:0012590)	2	0.1435	13.937282229965158	0.0096990300969903	urinary
HPO: Autosomal dominant inheritance (HP:0000006)	30	18.7657	1.598661387531507	0.0107989201079892	other
HPO: Hemorrhage of the eye (HP:0011885)	2	0.1651	12.113870381586915	0.0121987801219878	cardiovascular
HPO: Abnormality of renal excretion (HP:0011036)	2	0.1686	11.862396204033216	0.0130986901309869	urinary
HPO: Skull defect (HP:0001362)	3	0.4812	6.234413965087281	0.0130986901309869	skeletal
HPO: Decreased electroretinogram (ERG) amplitude (HP:0000654)	2	0.1912	10.460251046025103	0.0136986301369863	nervous
HPO: Paresthesia (HP:0003401)	4	0.9511	4.205656608137946	0.0138986101389861	nervous
HPO: Congenital cataract (HP:0000519)	3	0.5079	5.9066745422327225	0.0146985301469853	nervous
HPO: Vertebral hypoplasia (HP:0008417)	2	0.1989	10.055304172951232	0.015998400159984	skeletal
HPO: Aplasia/Hypoplasia of the vertebrae (HP:0008515)	2	0.1989	10.055304172951232	0.015998400159984	skeletal
HPO: Abnormality of the vitreous humor (HP:0004327)	3	0.5513	5.441683294032287	0.0176982301769823	nervous
HPO: Attention deficit hyperactivity disorder (HP:0007018)	5	1.5172	3.2955444239388343	0.0180981901809819	behavior
HPO: Autism (HP:0000717)	6	1.9831	3.0255660329786696	0.0185981401859814	nervous
HPO: Sprengel anomaly (HP:0000912)	3	0.5505	5.449591280653952	0.0185981401859814	skeletal
HPO: Metaphyseal cupping (HP:0003021)	1	0.0198	50.5050505050505	0.0197980201979802	skeletal
HPO: Aplasia/Hypoplasia of the lens (HP:0008063)	3	0.6037	4.969355640218652	0.0224977502249775	nervous
HPO: Progressive hearing impairment (HP:0001730)	2	0.2403	8.322929671244278	0.0225977402259774	nervous
HPO: Renovascular hypertension (HP:0100817)	2	0.2448	8.169934640522877	0.0233976602339766	cardiovascular
HPO: Polycystic ovaries (HP:0000147)	4	1.08	3.7037037037037033	0.0235976402359764	reproductive
HPO: Myotonia (HP:0002486)	2	0.2395	8.350730688935283	0.025997400259974	skeletal muscle
HPO: Facial asymmetry (HP:0000324)	4	1.1365	3.519577650681918	0.0285971402859714	other
HPO: Blepharophimosis (HP:0000581)	6	2.2904	2.619629758994062	0.0296970302969703	integumentary
HPO: Obsessive-compulsive behavior (HP:0000722)	3	0.673	4.457652303120357	0.0298970102989701	behavior
HPO: Acne (HP:0001061)	2	0.2778	7.199424046076314	0.0302969703029697	integumentary
HPO: Hypokalemia (HP:0002900)	2	0.2678	7.468259895444362	0.0303969603039696	other
HPO: Abnormality of sodium homeostasis (HP:0010931)	2	0.267	7.49063670411985	0.0312968703129687	other
HPO: Generalized muscle weakness (HP:0003324)	2	0.2859	6.995452955578874	0.0312968703129687	skeletal muscle
HPO: Dry hair (HP:0011359)	1	0.0343	29.15451895043732	0.0338966103389661	integumentary
HPO: Bowel incontinence (HP:0002607)	2	0.2881	6.942034015966677	0.0347965203479652	digestive
HPO: Abnormal large intestine physiology (HP:0012700)	2	0.2881	6.942034015966677	0.0347965203479652	digestive
HPO: Glomerulopathy (HP:0100820)	2	0.2975	6.722689075630252	0.0347965203479652	urinary
HPO: Abnormal vertebral ossification (HP:0100569)	2	0.2801	7.140307033202427	0.0352964703529647	skeletal
HPO: Abdominal pain (HP:0002027)	4	1.2272	3.2594524119947845	0.0377962203779622	other
HPO: Stage 5 chronic kidney disease (HP:0003774)	3	0.7466	4.018215912135012	0.0415958404159584	urinary
HPO: Difficulty walking (HP:0002355)	2	0.3386	5.9066745422327225	0.0443955604439556	other
HPO: Prominent nasal bridge (HP:0000426)	5	1.9164	2.6090586516384886	0.0447955204479552	integumentary
HPO: Proximal amyotrophy (HP:0007126)	2	0.3459	5.782017924255565	0.0451954804519548	nervous
HPO: Bundle branch block (HP:0011710)	2	0.3372	5.931198102016608	0.0455954404559544	cardiovascular
HPO: Patent ductus arteriosus (HP:0001643)	5	1.9316	2.5885276454752537	0.0455954404559544	cardiovascular
HPO: Abnormality of the gastric mucosa (HP:0004295)	2	0.3374	5.927682276229994	0.0460953904609539	digestive
HPO: Nail dystrophy (HP:0008404)	2	0.3326	6.013229104028864	0.0476952304769523	integumentary
HPO: Vomiting (HP:0002013)	3	0.8205	3.656307129798903	0.0485951404859514	digestive
HPO: Polyneuropathy (HP:0001271)	2	0.3574	5.595970900951315	0.0491950804919508	nervous
HPO: Abnormality of the lacrimal duct (HP:0011481)	2	0.351	5.698005698005699	0.0492950704929507	other
HPO: Photophobia (HP:0000613)	6	2.6501	2.2640655069620013	0.0501949805019498	nervous
HPO: Acrocyanosis (HP:0001063)	2	0.3652	5.476451259583789	0.050994900509949	integumentary
HPO: Abnormal atrioventricular conduction (HP:0005150)	2	0.3552	5.63063063063063	0.0511948805119488	cardiovascular
HPO: Heart block (HP:0012722)	2	0.3552	5.63063063063063	0.0511948805119488	cardiovascular
HPO: Prolonged bleeding time (HP:0003010)	2	0.3693	5.415651232060655	0.0527947205279472	hematologic
HPO: Nephrogenic diabetes insipidus (HP:0009806)	2	0.3756	5.324813631522897	0.0541945805419458	urinary
HPO: Parakeratosis (HP:0001036)	1	0.0565	17.699115044247787	0.0543945605439456	integumentary
HPO: Nephrocalcinosis (HP:0000121)	2	0.3834	5.216484089723526	0.0553944605539446	urinary
HPO: Abnormality of the carotid arteries (HP:0005344)	2	0.3791	5.275652862041678	0.056994300569943	cardiovascular
HPO: Abnormality of the nasolacrimal system (HP:0000614)	2	0.3768	5.307855626326964	0.0570942905709429	other
HPO: Muscle stiffness (HP:0003552)	1	0.0595	16.80672268907563	0.0577942205779422	skeletal muscle
HPO: Optic disc pallor (HP:0000543)	2	0.3839	5.2096900234436045	0.0582941705829417	nervous
HPO: Recurrent lower respiratory tract infections (HP:0002783)	2	0.4057	4.929751047572098	0.0607939206079392	immune
HPO: Aganglionic megacolon (HP:0002251)	4	1.4582	2.7431079412974904	0.0608939106089391	digestive
HPO: Vesicoureteral reflux (HP:0000076)	4	1.4614	2.737101409607226	0.0616938306169383	urinary
HPO: Premature ovarian failure (HP:0008209)	1	0.0642	15.576323987538942	0.0623937606239376	reproductive
HPO: Pustule (HP:0200039)	1	0.065	15.384615384615383	0.0630936906309369	integumentary
HPO: Abnormality of aromatic amino acid family metabolism (HP:0004338)	1	0.0659	15.174506828528072	0.0640935906409359	metabolic
HPO: Pulmonary fibrosis (HP:0002206)	2	0.4129	4.8437878420925164	0.0646935306469353	respiratory
HPO: Juvenile onset (HP:0003621)	3	0.9311	3.221995489206315	0.065993400659934	other
HPO: Stridor (HP:0010307)	1	0.0679	14.727540500736376	0.0663933606639336	respiratory
