label	observed	mean_expected	enrichment	p_value	system
GWAS: Blood metabolite ratios	15	4.286	3.499766682221185	9.999000099990002e-05	metabolic
GWAS: Blood metabolite levels	34	14.8754	2.285652822781236	0.0001999800019998	metabolic
GWAS: Ulcerative colitis	58	37.876	1.53131270461506	0.0012998700129987	digestive
GWAS: Inflammatory bowel disease	80	56.9621	1.4044426030641426	0.0024997500249975	digestive
GWAS: Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	3	0.2649	11.32502831257078	0.0025997400259974	hematologic
GWAS: Factor VII	3	0.2963	10.12487343908201	0.0030996900309969	hematologic
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	5	1.0019	4.990518015770037	0.0031996800319968	other
GWAS: Cancer	8	2.566	3.117692907248636	0.0046995300469953	other
GWAS: Systemic lupus erythematosus and Systemic sclerosis	9	3.1694	2.839654193222692	0.0051994800519948	immune
GWAS: IgE levels	4	0.6824	5.861664712778429	0.0062993700629937	immune
GWAS: Serum metabolite levels	14	6.3719	2.1971468478789684	0.0066993300669933	metabolic
GWAS: PCA3 expression level	2	0.1339	14.936519790888724	0.0070992900709929	other
GWAS: Psoriasis	18	9.1947	1.957649515481745	0.0071992800719928	integumentary
GWAS: Triglycerides-Blood Pressure (TG-BP)	2	0.1241	16.116035455278002	0.0073992600739926	metabolic
GWAS: HDL Cholesterol - Triglycerides (HDLC-TG)	2	0.1308	15.29051987767584	0.0078992100789921	metabolic
GWAS: Serum parathyroid hormone levels	3	0.4183	7.171886206072197	0.0082991700829917	endocrine
GWAS: IgA nephropathy	9	3.4165	2.634274842675252	0.0085991400859914	immune
GWAS: Metabolic traits	11	4.6578	2.3616299540555628	0.0085991400859914	metabolic
GWAS: Obese vs. thin	7	2.2884	3.0589057857018003	0.0087991200879912	metabolic
GWAS: Nephrolithiasis	4	0.8219	4.866772113395791	0.0092990700929907	urinary
GWAS: Hypertriglyceridemia	6	1.7907	3.350644999162339	0.0097990200979902	metabolic
GWAS: Crohn's disease	82	62.4243	1.3135910214451745	0.0102989701029897	immune
GWAS: Amino acid levels	4	0.9421	4.245833775607685	0.0167983201679832	other
GWAS: Thyroid cancer (Papillary, radiation-related)	2	0.203	9.852216748768472	0.016998300169983	endocrine
GWAS: Malaria	3	0.5889	5.094243504839532	0.020997900209979	immune
GWAS: Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	44	31.6538	1.3900384787924356	0.0214978502149785	skeletal
GWAS: Liver enzyme levels (alkaline phosphatase)	7	2.7836	2.51472912774824	0.0227977202279772	other
GWAS: Body mass index (age>50)	17	9.8874	1.719359993527115	0.0231976802319768	metabolic
GWAS: Triglycerides	34	23.3352	1.457026295039254	0.0237976202379762	metabolic
GWAS: Waist-to-hip ratio adjusted for BMI	39	27.6937	1.4082625290228463	0.0238976102389761	skeletal
GWAS: Mumps	2	0.2465	8.113590263691684	0.0261973802619738	immune
GWAS: Barrett's esophagus  or Esophageal adenocarcinoma	10	4.8802	2.049096348510307	0.0271972802719728	digestive
GWAS: Pain medicine use during menstruation	2	0.2581	7.748934521503293	0.0286971302869713	reproductive
GWAS: Menstruation quality of life impact (dysmenorrhea)	2	0.2581	7.748934521503293	0.0286971302869713	reproductive
GWAS: Complement C3 and C4 levels	2	0.2671	7.487832272557094	0.0290970902909709	immune
GWAS: Circulating fibroblast growth factor 23 levels	7	2.9969	2.33574693850312	0.0311968803119688	other
GWAS: Serum prostate-specific antigen levels	3	0.6976	4.3004587155963305	0.0326967303269673	reproductive
