label	observed	mean_expected	enrichment	p_value	system
HPO: Abnormality of renal excretion (HP:0011036)	10	1.7578	5.688929343497554	9.999000099990002e-05	urinary
HPO: Mildly elevated creatine phosphokinase (HP:0008180)	8	1.3592	5.885815185403178	9.999000099990002e-05	other
HPO: Polyuria (HP:0000103)	9	1.2248	7.348138471587197	9.999000099990002e-05	urinary
HPO: Follicular hyperkeratosis (HP:0007502)	6	0.6405	9.36768149882904	9.999000099990002e-05	integumentary
HPO: Spinal rigidity (HP:0003306)	11	1.7467	6.297589740653804	9.999000099990002e-05	skeletal
HPO: Generalized amyotrophy (HP:0003700)	8	1.3264	6.031363088057901	9.999000099990002e-05	nervous
HPO: Prolonged bleeding time (HP:0003010)	11	2.7554	3.992160847789795	9.999000099990002e-05	hematologic
HPO: Abnormal urine output (HP:0012590)	10	1.4552	6.871907641561297	9.999000099990002e-05	urinary
HPO: Blindness (HP:0000618)	21	8.252	2.544837615123606	0.0001999800019998	nervous
HPO: Abnormality of skeletal muscle fiber size (HP:0012084)	8	1.4203	5.632612828275716	0.0001999800019998	skeletal muscle
HPO: Epistaxis (HP:0000421)	14	4.3705	3.203294817526599	0.0001999800019998	other
HPO: Polydipsia (HP:0001959)	6	0.76	7.894736842105263	0.0001999800019998	other
HPO: Increased variability in muscle fiber diameter (HP:0003557)	8	1.4011	5.709799443294554	0.0001999800019998	skeletal muscle
HPO: Abnormal drinking behavior (HP:0030082)	6	0.76	7.894736842105263	0.0001999800019998	behavior
HPO: Hypoventilation (HP:0002791)	7	1.1315	6.18647812638091	0.0002999700029997	respiratory
HPO: Abnormality of macrophages (HP:0004311)	6	0.688	8.72093023255814	0.0002999700029997	immune
HPO: Type 1 muscle fiber predominance (HP:0003803)	7	1.1499	6.087485868336377	0.0002999700029997	skeletal muscle
HPO: Increased connective tissue (HP:0009025)	7	1.2534	5.584809318653263	0.0003999600039996	other
HPO: Limb-girdle muscle weakness (HP:0003325)	10	2.2497	4.445037116059919	0.0003999600039996	skeletal muscle
HPO: Slender build (HP:0001533)	6	0.9108	6.587615283267457	0.0004999500049995	other
HPO: Ankle contracture (HP:0006466)	6	0.9894	6.064281382656156	0.0005999400059994	skeletal muscle
HPO: Autosomal recessive inheritance (HP:0000007)	263	212.1921	1.239442938733346	0.0005999400059994	other
HPO: Recurrent lower respiratory tract infections (HP:0002783)	11	3.4684	3.171491177488179	0.0007999200079992	immune
HPO: Vomiting (HP:0002013)	19	8.5622	2.219055850131975	0.0007999200079992	digestive
HPO: Pointed chin (HP:0000307)	17	7.1226	2.38676887653385	0.000999900009999	skeletal
HPO: Polygenic inheritance (HP:0010982)	6	1.1796	5.0864699898270604	0.000999900009999	other
HPO: Skull defect (HP:0001362)	12	4.1699	2.8777668529221323	0.0011998800119988	skeletal
HPO: Hypermelanotic macule (HP:0001034)	13	4.9478	2.627430373095113	0.0014998500149985	integumentary
HPO: Skin nodule (HP:0200036)	6	1.283	4.676539360872955	0.0015998400159984	integumentary
HPO: Angiofibromas (HP:0010615)	5	0.8386	5.962318149296446	0.0017998200179982	cardiovascular
HPO: Adenoma sebaceum (HP:0009720)	5	0.8386	5.962318149296446	0.0017998200179982	integumentary
HPO: Premature ovarian failure (HP:0008209)	4	0.5197	7.696748123917644	0.001999800019998	reproductive
HPO: Lymphangioma (HP:0100764)	6	1.3191	4.548555833522856	0.001999800019998	lymphatic
HPO: Stage 5 chronic kidney disease (HP:0003774)	13	5.1956	2.502117176072061	0.0023997600239976	urinary
HPO: Increased serum ferritin (HP:0003281)	4	0.5483	7.2952763085901875	0.0023997600239976	other
HPO: Aplasia cutis congenita (HP:0001057)	5	0.895	5.58659217877095	0.0024997500249975	integumentary
HPO: Abnormality of transition element cation homeostasis (HP:0011030)	5	0.9062	5.517545795630103	0.0027997200279972	other
