label	observed	mean_expected	enrichment	p_value	system
GWAS: Chronotype	6	0.6254	9.593859929645028	9.999000099990002e-05	behavior
GWAS: Morning vs. evening chronotype	5	0.5618	8.8999644001424	0.0001999800019998	behavior
GWAS: Systolic blood pressure x smoking status (current vs non-current) interaction (1df test)	3	0.3643	8.234971177600878	0.0057994200579942	cardiovascular
GWAS: Plasma PCSK9 levels in stable coronary artery disease	2	0.1292	15.479876160990711	0.005999400059994	cardiovascular
GWAS: Bilirubin levels	3	0.3821	7.851347814708192	0.0080991900809919	digestive
GWAS: Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)	6	1.7896	3.3527045149754136	0.0102989701029897	cardiovascular
GWAS: Cholangiocarcinoma in primary sclerosing cholangitis (time to event)	2	0.1484	13.477088948787062	0.0102989701029897	digestive
GWAS: HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	2	0.183	10.92896174863388	0.0132986701329867	metabolic
GWAS: Fasting blood insulin	2	0.1802	11.098779134295228	0.0146985301469853	metabolic
GWAS: Autism spectrum disorder	2	0.1943	10.29336078229542	0.0151984801519848	behavior
GWAS: Caffeine metabolism (plasma caffeine) level)	1	0.0155	64.51612903225806	0.0153984601539846	metabolic
GWAS: Binge eating behaviour and bipolar disorder	1	0.0157	63.69426751592357	0.0157984201579842	behavior
GWAS: Breastfeeding duration	2	0.2034	9.83284169124877	0.0167983201679832	reproductive
GWAS: Caffeine metabolism (plasma paraxanthine caffeine ratio)	1	0.0184	54.34782608695652	0.0182981701829817	metabolic
GWAS: Pain medicine use during menstruation	1	0.0222	45.04504504504504	0.021997800219978	reproductive
GWAS: Menstruation quality of life impact (dysmenorrhea)	1	0.0222	45.04504504504504	0.021997800219978	reproductive
GWAS: Common carotid intima-media thickness	2	0.2389	8.371703641691084	0.0231976802319768	cardiovascular
GWAS: Suicide in bipolar disorder	1	0.0246	40.65040650406504	0.0244975502449755	behavior
GWAS: Length of menstrual cycle	1	0.0248	40.32258064516129	0.0247975202479752	reproductive
GWAS: Neuritic plaques or neurofibrillary tangles (pleiotropy)	1	0.0252	39.68253968253968	0.0248975102489751	nervous
GWAS: Caffeine consumption	1	0.0253	39.52569169960474	0.0251974802519748	behavior
GWAS: Immunoglobulin A	2	0.2584	7.739938080495356	0.026997300269973	immune
GWAS: Dysmenorrheic pain severity	1	0.0278	35.97122302158274	0.0273972602739726	reproductive
GWAS: Endometrial cancer (Non-endometrioid histology)	2	0.258	7.751937984496124	0.0286971302869713	reproductive
GWAS: Prostate cancer (advanced)	2	0.2877	6.951685783802572	0.0327967203279672	reproductive
GWAS: Systemic lupus erythematosus and Systemic sclerosis	2	0.2936	6.811989100817439	0.0336966303369663	immune
GWAS: IgE levels	1	0.0381	26.246719160104984	0.0371962803719628	immune
GWAS: Nonsyndromic cleft lip with cleft palate	2	0.318	6.289308176100628	0.0402959704029597	other
GWAS: Alcohol dependence	4	1.2744	3.138731952291274	0.040995900409959	behavior
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	1	0.0487	20.53388090349076	0.0474952504749525	other
GWAS: Serum alkaline phosphatase levels	2	0.3481	5.745475438092502	0.0483951604839516	other
GWAS: Systemic lupus erythematosus	8	3.9561	2.022193574479917	0.0486951304869513	immune
GWAS: Fasting blood insulin (BMI interaction)	2	0.3358	5.955926146515783	0.0486951304869513	metabolic
GWAS: Narcolepsy	1	0.0498	20.080321285140563	0.048995100489951	behavior
GWAS: Eosinophil percentage of granulocytes	4	1.3856	2.886836027713626	0.0514948505149485	immune
GWAS: Diffusing capacity of the lung for carbon monoxide traits	2	0.374	5.347593582887701	0.0538946105389461	respiratory
GWAS: Ulcerative colitis	6	2.6834	2.2359692926883805	0.0543945605439456	digestive
GWAS: C-reactive protein	1	0.0624	16.025641025641026	0.0606939306069393	immune
GWAS: Response to anti-TNF therapy in rheumatoid arthritis	2	0.3969	5.039052658100277	0.0617938206179382	other
GWAS: Shingles	1	0.0684	14.619883040935672	0.0652934706529347	immune
GWAS: Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	1	0.0684	14.619883040935672	0.0660933906609339	immune
GWAS: HIV-1 viral setpoint	2	0.4362	4.5850527281063735	0.0683931606839316	immune
GWAS: Lipoprotein-associated phospholipase A2 activity and mass	1	0.0716	13.966480446927374	0.0690930906909309	metabolic
GWAS: Eosinophil percentage of white cells	4	1.5495	2.5814778960955147	0.0692930706929307	immune
GWAS: HIV-1 control	1	0.0735	13.60544217687075	0.070992900709929	immune
GWAS: Functional impairment in major depressive disorder, bipolar disorder and schizophrenia	1	0.0787	12.706480304955528	0.0757924207579242	nervous
GWAS: Type 1 diabetes and autoimmune thyroid diseases	1	0.0792	12.626262626262625	0.0762923707629237	metabolic
GWAS: White blood cell count (basophil)	3	1.0078	2.976781107362572	0.0770922907709229	immune
GWAS: Cannabis dependence	1	0.0811	12.330456226880392	0.0783921607839216	behavior
GWAS: Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)	1	0.0819	12.21001221001221	0.0794920507949205	other
GWAS: Dialysis-related mortality	2	0.4851	4.1228612657184085	0.0824917508249175	other
GWAS: Sum eosinophil basophil counts	4	1.6593	2.410655095522208	0.0845915408459154	hematologic
GWAS: Craniofacial microsomia	3	1.0325	2.905569007263922	0.0847915208479152	skeletal
GWAS: Eosinophil counts	4	1.6925	2.363367799113737	0.0886911308869113	immune
GWAS: Diabetes in response to antihypertensive drug treatment (treatment strategy interaction)	1	0.0916	10.91703056768559	0.0887911208879112	metabolic
GWAS: Huntington's disease progression	2	0.4965	4.028197381671702	0.08999100089991	nervous
GWAS: Alcohol consumption	2	0.5049	3.9611804317686663	0.0910908909109089	behavior
GWAS: Hepatocellular carcinoma	1	0.0959	10.427528675703858	0.0915908409159084	digestive
GWAS: Periodontitis	1	0.0971	10.298661174047371	0.0937906209379062	immune
GWAS: Select biomarker traits	1	0.0985	10.152284263959393	0.0947905209479052	other
GWAS: Psychosis and Alzheimer's disease	1	0.1057	9.460737937559127	0.0995900409959004	behavior
GWAS: Cardiovascular disease risk factors	1	0.1085	9.216589861751151	0.1032896710328967	cardiovascular
GWAS: Urate levels in obese individuals	3	1.1079	2.707825616030328	0.1036896310368963	metabolic
GWAS: Motion sickness	4	1.7917	2.2325166043422446	0.1068893110688931	nervous
GWAS: Post bronchodilator percent predicted FEV1 in smoking	1	0.1137	8.795074758135444	0.1072892710728927	other
GWAS: Waist-to-hip ratio adjusted for BMI (age <50)	2	0.5566	3.5932446999640675	0.1076892310768923	skeletal
GWAS: Systolic blood pressure change trajectories	1	0.1154	8.665511265164644	0.10998900109989	cardiovascular
GWAS: Sense of smell	2	0.5701	3.5081564637782843	0.1105889411058894	nervous
GWAS: Conotruncal heart defects (inherited effects)	1	0.1229	8.136696501220504	0.1156884311568843	cardiovascular
GWAS: Chronic venous disease	1	0.1237	8.084074373484237	0.1168883111688831	cardiovascular
GWAS: Erythrocyte cadmium concentration	1	0.1304	7.668711656441719	0.1223877612238776	hematologic
GWAS: Progranulin levels	1	0.1325	7.547169811320754	0.1243875612438756	nervous
GWAS: Serum protein levels (sST2)	1	0.1353	7.390983000739098	0.1274872512748725	other
GWAS: Hypertriglyceridemia	1	0.139	7.194244604316546	0.1298870112988701	metabolic
GWAS: Normalized brain volume	1	0.143	6.993006993006993	0.133986601339866	nervous
GWAS: Common carotid intima-media thickness in HIV infection	2	0.6469	3.091667954861648	0.1353864613538646	cardiovascular
GWAS: Circulating fibroblast growth factor 23 levels	1	0.1494	6.693440428380187	0.1385861413858614	other
GWAS: Delirium	2	0.6521	3.0670142616163165	0.138986101389861	behavior
GWAS: Hip circumference adjusted for BMI	3	1.2934	2.3194680686562545	0.1404859514048595	skeletal
GWAS: White blood cell count	4	2.0002	1.999800019998	0.1418858114188581	immune
GWAS: Lipid metabolism phenotypes	1	0.1568	6.377551020408164	0.1458854114588541	metabolic
