label	observed	mean_expected	enrichment	p_value	system
HPO: Abnormality of iron homeostasis (HP:0011031)	3	0.0631	47.543581616481774	9.999000099990002e-05	other
HPO: Increased serum ferritin (HP:0003281)	3	0.0563	53.28596802841918	9.999000099990002e-05	other
HPO: Abnormality of transition element cation homeostasis (HP:0011030)	3	0.0988	30.36437246963563	0.0002999700029997	other
HPO: Abnormality of macrophages (HP:0004311)	2	0.0469	42.64392324093817	0.0008999100089991	immune
HPO: Generalized amyotrophy (HP:0003700)	2	0.0821	24.360535931790498	0.0033996600339966	nervous
HPO: Abnormality of the pericardium (HP:0001697)	3	0.3473	8.638065073423553	0.0058994100589941	cardiovascular
HPO: Gingivitis (HP:0000230)	2	0.1485	13.468013468013469	0.0103989601039896	other
HPO: High pitched voice (HP:0001620)	2	0.1513	13.218770654329148	0.0103989601039896	other
HPO: Skin nodule (HP:0200036)	2	0.1563	12.795905310300704	0.0110988901109889	integumentary
HPO: Cafe-au-lait spot (HP:0000957)	3	0.4696	6.388415672913117	0.0120987901209879	integumentary
HPO: Coxa vara (HP:0002812)	2	0.1731	11.554015020219524	0.0124987501249875	skeletal
HPO: Ascites (HP:0001541)	3	0.4907	6.113715100876298	0.0128987101289871	digestive
HPO: Nail dystrophy (HP:0008404)	2	0.1936	10.330578512396697	0.0140985901409859	integumentary
HPO: Juvenile onset (HP:0003621)	3	0.5005	5.994005994005994	0.0146985301469853	other
HPO: Hypochromic anemia (HP:0001931)	1	0.0149	67.11409395973155	0.0148985101489851	hematologic
HPO: Abnormal number of erythroid precursors (HP:0012131)	1	0.0154	64.93506493506493	0.0154984501549845	hematologic
HPO: Diastasis recti (HP:0001540)	1	0.0175	57.14285714285714	0.0173982601739826	skeletal muscle
HPO: Osteoarthritis (HP:0002758)	3	0.5476	5.47845142439737	0.0183981601839816	skeletal
HPO: Abnormality of cells of the erythroid lineage (HP:0012130)	1	0.0196	51.02040816326531	0.0195980401959804	hematologic
HPO: Precocious puberty (HP:0000826)	2	0.2476	8.077544426494347	0.0257974202579742	endocrine
HPO: Neoplasm of the adrenal cortex (HP:0100641)	1	0.0261	38.31417624521072	0.0258974102589741	endocrine
HPO: Pallor (HP:0000980)	2	0.2527	7.914523149980214	0.0262973702629737	integumentary
HPO: Hepatoblastoma (HP:0002884)	1	0.0266	37.59398496240602	0.0262973702629737	digestive
HPO: Exostoses (HP:0100777)	2	0.2694	7.423904974016334	0.0291970802919708	skeletal
HPO: Waddling gait (HP:0002515)	2	0.2741	7.296607077708865	0.0295970402959704	other
HPO: Long foot (HP:0001833)	1	0.0298	33.557046979865774	0.0296970302969703	skeletal
HPO: Abnormality of Sharpey fibers (HP:0100685)	2	0.269	7.434944237918216	0.0298970102989701	skeletal muscle
HPO: Chondrocalcinosis (HP:0000934)	2	0.269	7.434944237918216	0.0298970102989701	skeletal
HPO: Hyperparathyroidism (HP:0000843)	1	0.0313	31.948881789137378	0.030996900309969	endocrine
HPO: Decreased activity of cytochrome C oxidase in muscle tissue (HP:0003688)	1	0.0315	31.746031746031747	0.030996900309969	skeletal muscle
HPO: Aseptic necrosis (HP:0010885)	2	0.279	7.168458781362006	0.0318968103189681	skeletal
HPO: Increased number of teeth (HP:0011069)	2	0.2845	7.029876977152901	0.0327967203279672	skeletal
HPO: Epidermoid cyst (HP:0200040)	1	0.0357	28.011204481792717	0.0352964703529647	integumentary
HPO: Focal seizures (HP:0007359)	2	0.2911	6.870491240123668	0.0363963603639636	nervous
HPO: Type II diabetes mellitus (HP:0005978)	3	0.709	4.231311706629056	0.0367963203679632	metabolic
HPO: Hypoplasia of the capital femoral epiphysis (HP:0003090)	1	0.0373	26.80965147453083	0.0368963103689631	skeletal
HPO: Specific learning disability (HP:0001328)	2	0.2972	6.729475100942126	0.0368963103689631	other
HPO: Muscle abnormality related to mitochondrial dysfunction (HP:0003800)	1	0.0396	25.25252525252525	0.038996100389961	skeletal muscle
HPO: Hypobetalipoproteinemia (HP:0003563)	1	0.0408	24.509803921568626	0.0403959604039596	metabolic
HPO: Progressive muscle weakness (HP:0003323)	1	0.0411	24.330900243309003	0.0404959504049595	skeletal muscle
HPO: Dysphonia (HP:0001618)	1	0.0421	23.752969121140143	0.0410958904109589	other
HPO: Aneurysm (HP:0002617)	3	0.7756	3.8679731820526047	0.041995800419958	nervous
HPO: Abnormal pancreas size (HP:0012094)	1	0.0432	23.148148148148145	0.0426957304269573	digestive
HPO: Keratoconjunctivitis sicca (HP:0001097)	1	0.0429	23.31002331002331	0.0426957304269573	integumentary
HPO: Abnormal glucose tolerance (HP:0001952)	1	0.0437	22.88329519450801	0.042995700429957	metabolic
HPO: Xanthomatosis (HP:0000991)	1	0.0436	22.93577981651376	0.042995700429957	metabolic
HPO: Supranuclear gaze palsy (HP:0000605)	1	0.0458	21.83406113537118	0.0444955504449555	nervous
HPO: Prolonged neonatal jaundice (HP:0006579)	1	0.0462	21.645021645021647	0.0456954304569543	digestive
HPO: Cerebral ischemia (HP:0002637)	2	0.3386	5.9066745422327225	0.0458954104589541	nervous
HPO: Keratoconjunctivitis (HP:0001096)	1	0.0468	21.36752136752137	0.0463953604639536	integumentary
HPO: Aplasia/Hypoplasia of the capital femoral epiphysis (HP:0005003)	1	0.0496	20.161290322580644	0.0488951104889511	skeletal
HPO: Absent epiphyses (HP:0010577)	1	0.0496	20.161290322580644	0.0488951104889511	skeletal
HPO: Lack of skin elasticity (HP:0100679)	2	0.356	5.617977528089888	0.048995100489951	integumentary
HPO: Prominent occiput (HP:0000269)	2	0.3627	5.514199062586159	0.04999500049995	skeletal
HPO: Retinitis pigmentosa (HP:0000510)	3	0.8311	3.609673926122007	0.0510948905109489	integumentary
HPO: Recurrent urinary tract infections (HP:0000010)	3	0.8137	3.686862480029495	0.0511948805119488	immune
HPO: Gastrointestinal dysmotility (HP:0002579)	1	0.0534	18.726591760299623	0.0518948105189481	digestive
HPO: Fine hair (HP:0002213)	2	0.3686	5.425935973955507	0.0518948105189481	integumentary
