label	observed	mean_expected	enrichment	p_value	system
GWAS: Basophil percentage of white cells	10	3.3806	2.9580547831745845	0.0022997700229977	immune
GWAS: Thyroid cancer (Papillary, radiation-related)	2	0.093	21.50537634408602	0.0042995700429957	endocrine
GWAS: Aspartate aminotransferase levels	7	2.0036	3.4937113196246754	0.0056994300569943	other
GWAS: IgA nephropathy	5	1.2596	3.969514131470308	0.0098990100989901	immune
GWAS: Factor VII	2	0.1693	11.813349084465443	0.0141985801419858	hematologic
GWAS: PCA3 expression level	1	0.0147	68.02721088435375	0.0143985601439856	other
GWAS: Liver enzyme levels	5	1.5419	3.2427524482780985	0.0182981701829817	other
GWAS: Graves' disease	5	1.5122	3.306440946964688	0.01999800019998	endocrine
GWAS: Leprosy	4	1.128	3.546099290780142	0.0232976702329767	immune
GWAS: Hematological parameters	2	0.2381	8.399832003359933	0.0254974502549745	hematologic
GWAS: Urate levels	9	4.256	2.1146616541353382	0.0306969303069693	metabolic
GWAS: Schizophrenia or bipolar disorder	4	1.1822	3.383522246658772	0.0356964303569643	behavior
GWAS: Inflammatory bowel disease	36	26.3318	1.3671682148580804	0.0371962803719628	digestive
GWAS: Food allergy (parent-of-origin effect)	2	0.2969	6.736274840013473	0.0383961603839616	immune
GWAS: Lower body strength	3	0.7648	3.922594142259414	0.0443955604439556	skeletal muscle
GWAS: Systemic sclerosis (anti-centromere-positive)	2	0.3398	5.885815185403178	0.0463953604639536	other
GWAS: Nonsyndromic cleft lip with cleft palate	4	1.3605	2.940095553105476	0.0472952704729527	other
GWAS: Nephrolithiasis	2	0.3579	5.588153115395362	0.0520947905209479	urinary
GWAS: HDL cholesterol	26	18.448	1.409366869037294	0.0547945205479452	metabolic
GWAS: Pulmonary function in asthmatics	2	0.3717	5.380683346785042	0.054994500549945	respiratory
GWAS: Subclinical trait of interstitial lung disease (basilar peel-core ratio of HAA on CT scan)	3	0.8793	3.41180484476288	0.0572942705729427	respiratory
GWAS: Chronic lymphocytic leukemia	7	3.3995	2.059126342109133	0.0580941905809419	lymphatic
GWAS: Hearing function	3	0.9095	3.298515667949423	0.0610938906109389	nervous
GWAS: Hair color	8	4.1707	1.9181432373462488	0.0615938406159384	integumentary
GWAS: Electroencephalogram traits	5	2.1153	2.3637309128728785	0.063993600639936	nervous
GWAS: Waist-to-hip ratio adjusted for BMI (age <50)	8	4.182	1.9129603060736489	0.0656934306569343	skeletal
GWAS: Iron status biomarkers (ferritin levels)	2	0.4183	4.781257470714798	0.0661933806619338	other
GWAS: Metabolite levels (lipid measures)	2	0.4221	4.738213693437574	0.067993200679932	metabolic
GWAS: Sphingolipid levels	3	0.9726	3.084515731030228	0.0733926607339266	metabolic
GWAS: Lung cancer	14	9.0609	1.545100376342306	0.0770922907709229	respiratory
GWAS: Urinary bladder cancer	1	0.0809	12.360939431396789	0.0782921707829217	metabolic
GWAS: Lumbar spine bone mineral density (trabecular)	5	2.2286	2.243560979987436	0.0786921307869213	skeletal
GWAS: Proinsulin levels	2	0.4761	4.200798151648813	0.0821917808219178	metabolic
GWAS: Febrile seizures	2	0.4771	4.191993292810731	0.0834916508349165	nervous
GWAS: Nonalcoholic fatty liver disease	2	0.4845	4.12796697626419	0.0844915508449155	digestive
GWAS: White blood cell count (basophil)	10	6.0141	1.6627591825875858	0.0852914708529147	immune
GWAS: Blood metabolite levels	11	6.8436	1.6073411654684668	0.0876912308769123	metabolic
GWAS: Osteoarthritis (hip)	6	3.0403	1.973489458277144	0.0894910508949105	skeletal
GWAS: Fuchs's corneal dystrophy	2	0.4987	4.010427110487267	0.0896910308969103	nervous
GWAS: Cingulate cortical amyloid beta load	1	0.0981	10.19367991845056	0.0923907609239076	nervous
GWAS: Red blood cell traits	8	4.6366	1.7254022343958937	0.0950904909509049	hematologic
GWAS: Non-glioblastoma glioma	5	2.3848	2.0966118752096614	0.0951904809519048	nervous
GWAS: Basophil percentage of granulocytes	7	3.871	1.8083182640144664	0.0962903709629037	immune
GWAS: Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	1	0.1026	9.746588693957117	0.0981901809819018	other
GWAS: Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	1	0.1075	9.30232558139535	0.1015898410158984	nervous
GWAS: Febrile seizures (MMR vaccine-related)	2	0.5424	3.687315634218289	0.104989501049895	nervous
GWAS: Cerebrospinal AB1-42 levels in normal cognition	6	3.1846	1.8840670727877915	0.1054894510548945	nervous
GWAS: Chronic hepatitis B infection	1	0.1132	8.8339222614841	0.1073892610738926	immune
GWAS: Mean arterial pressure (long-term average)	1	0.1139	8.779631255487269	0.1080891910808919	cardiovascular
GWAS: Delirium	6	3.1972	1.8766420618040784	0.1081891810818918	behavior
GWAS: Economic and political preferences	3	1.1554	2.5965033754543883	0.1090890910908909	other
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	2	0.5595	3.5746201966041107	0.1102889711028897	other
GWAS: Branched-chain amino acid levels (Isoleucine)	1	0.1191	8.39630562552477	0.1131886811318868	other
GWAS: Type 1 diabetes in high risk HLA genotype individuals (time to event)	1	0.123	8.130081300813009	0.1148885111488851	metabolic
GWAS: S-phenylmercapturic acid levels in smokers	1	0.1204	8.305647840531561	0.1148885111488851	other
GWAS: Systemic lupus erythematosus and Systemic sclerosis	4	1.8349	2.1799553109161263	0.1150884911508849	immune
GWAS: Chronic hepatitis C infection	1	0.1226	8.156606851549755	0.1151884811518848	immune
GWAS: Blood pressure measurement (high sodium and potassium intervention)	1	0.122	8.19672131147541	0.1164883511648835	hematologic
GWAS: Plasma homocysteine levels (post-methionine load test)	1	0.1239	8.071025020177563	0.116988301169883	other
GWAS: Cancer	3	1.2033	2.4931438544003988	0.1172882711728827	other
GWAS: Egg allergy	2	0.5906	3.3863867253640363	0.1215878412158784	immune
GWAS: Systemic sclerosis (anti-topoisomerase-positive)	1	0.1309	7.639419404125287	0.1218878112188781	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)	1	0.1323	7.558578987150415	0.1234876512348765	other
GWAS: Strep throat	1	0.1369	7.304601899196494	0.1281871812818718	immune
GWAS: Glioma	3	1.258	2.384737678855326	0.1306869313068693	nervous
GWAS: Limited cutaneous systemic scleroderma	2	0.6588	3.035822707953855	0.1395860413958604	integumentary
