label	observed	mean_expected	enrichment	p_value	system
HPO: Spinal rigidity (HP:0003306)	8	1.0024	7.980845969672786	9.999000099990002e-05	skeletal
HPO: Type 1 muscle fiber predominance (HP:0003803)	6	0.6597	9.095043201455209	9.999000099990002e-05	skeletal muscle
HPO: Limb-girdle muscle weakness (HP:0003325)	8	1.2652	6.323110970597534	0.0001999800019998	skeletal muscle
HPO: Mildly elevated creatine phosphokinase (HP:0008180)	6	0.7844	7.649158592554819	0.0001999800019998	other
HPO: Abnormality of skeletal muscle fiber size (HP:0012084)	6	0.7941	7.555723460521345	0.0001999800019998	skeletal muscle
HPO: Follicular hyperkeratosis (HP:0007502)	5	0.3783	13.217023526301876	0.0001999800019998	integumentary
HPO: Increased variability in muscle fiber diameter (HP:0003557)	6	0.7883	7.61131548902702	0.0001999800019998	skeletal muscle
HPO: Ankle contracture (HP:0006466)	5	0.5308	9.419743782969102	0.0002999700029997	skeletal muscle
HPO: Slender build (HP:0001533)	5	0.5496	9.097525473071324	0.0002999700029997	other
HPO: Metabolic acidosis (HP:0001942)	10	2.8605	3.4958923265163437	0.0006999300069993	metabolic
HPO: Generalized amyotrophy (HP:0003700)	5	0.6301	7.935248373274083	0.0006999300069993	nervous
HPO: Recurrent lower respiratory tract infections (HP:0002783)	7	1.6702	4.191114836546522	0.0006999300069993	immune
HPO: Hypoventilation (HP:0002791)	5	0.6471	7.726781023025807	0.0006999300069993	respiratory
HPO: Neonatal hypotonia (HP:0001319)	13	4.7615	2.730232069725927	0.0010998900109989	skeletal muscle
HPO: Increased connective tissue (HP:0009025)	4	0.4972	8.045052292839904	0.0018998100189981	other
HPO: Skull defect (HP:0001362)	7	1.7739	3.946107446868482	0.0022997700229977	skeletal
HPO: Progressive microcephaly (HP:0000253)	3	0.3094	9.6961861667744	0.0037996200379962	nervous
HPO: Basal cell carcinoma (HP:0002671)	4	0.5836	6.854009595613434	0.0040995900409959	integumentary
HPO: Blindness (HP:0000618)	10	3.7057	2.6985454839841325	0.0040995900409959	nervous
HPO: Abnormal biliary tract morphology (HP:0012440)	5	1.0825	4.618937644341801	0.0044995500449955	digestive
HPO: Abnormal platelet function (HP:0011869)	4	0.6932	5.770340450086555	0.0048995100489951	hematologic
HPO: Impaired platelet aggregation (HP:0003540)	4	0.6932	5.770340450086555	0.0048995100489951	hematologic
HPO: Abnormality of macrophages (HP:0004311)	3	0.3474	8.635578583765113	0.0048995100489951	immune
HPO: Torticollis (HP:0000473)	5	1.1872	4.211590296495957	0.0054994500549945	skeletal
HPO: Infantile onset (HP:0003593)	24	13.4931	1.778686884407586	0.0056994300569943	other
