label	observed	mean_expected	enrichment	p_value	system
GWAS: Lipoprotein phospholipase A2 activity in cardiovascular disease	4	0.3845	10.403120936280883	0.0006999300069993	metabolic
GWAS: Obese vs. thin	3	0.3069	9.775171065493646	0.0040995900409959	metabolic
GWAS: Tenofovir clearance in HIV infection	3	0.343	8.746355685131194	0.0053994600539946	other
GWAS: Multiple sclerosis--Brain Glutamate Levels	2	0.1162	17.21170395869191	0.0057994200579942	nervous
GWAS: Malaria	1	0.0075	133.33333333333334	0.0075992400759924	immune
GWAS: Lupus nephritis in systemic lupus erythematosus	2	0.1358	14.727540500736376	0.0083991600839916	urinary
GWAS: Dietary macronutrient intake	2	0.1358	14.727540500736376	0.0086991300869913	behavior
GWAS: Phosphorus levels	2	0.142	14.084507042253522	0.0094990500949905	other
GWAS: Response to taxane treatment (placlitaxel)	2	0.1657	12.070006035003018	0.0114988501149885	other
GWAS: HDL Cholesterol - Triglycerides (HDLC-TG)	1	0.0118	84.74576271186442	0.0118988101189881	metabolic
GWAS: Triglycerides-Blood Pressure (TG-BP)	1	0.0118	84.74576271186442	0.0118988101189881	metabolic
GWAS: Hippocampal tail volume	2	0.1547	12.92824822236587	0.0118988101189881	nervous
GWAS: Metabolic syndrome (multivariate analysis)	1	0.0118	84.74576271186442	0.0118988101189881	metabolic
GWAS: Type 2 diabetes nephropathy including microalbuminuria	2	0.1761	11.357183418512207	0.012998700129987	metabolic
GWAS: Body mass index (adult)	3	0.4965	6.042296072507553	0.0135986401359864	metabolic
GWAS: Serum parathyroid hormone levels	1	0.0146	68.4931506849315	0.0146985301469853	endocrine
GWAS: Ulcerative colitis	9	3.8705	2.325280971450717	0.0167983201679832	digestive
GWAS: Erosive tooth wear (severe vs none or mild)	3	0.5226	5.740528128587831	0.0172982701729827	skeletal
GWAS: Anxiety disorder	2	0.207	9.66183574879227	0.0191980801919808	behavior
GWAS: Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	1	0.0197	50.76142131979696	0.0196980301969803	hematologic
GWAS: Metabolic syndrome (bivariate traits)	1	0.0198	50.5050505050505	0.0198980101989801	metabolic
GWAS: Triglycerides	7	2.7118	2.5813113061435207	0.0203979602039796	metabolic
GWAS: Inflammatory bowel disease	12	6.1473	1.9520765213996387	0.0226977302269773	digestive
GWAS: Schizophrenia (inflammation and infection response interaction)	2	0.2579	7.754943776657619	0.0278972102789721	behavior
GWAS: Hippocampal subfield CA3 volume	2	0.2767	7.228044813877846	0.0296970302969703	nervous
GWAS: Hippocampal subfield CA1 volume	2	0.2767	7.228044813877846	0.0296970302969703	nervous
GWAS: Body fat percentage	2	0.266	7.518796992481203	0.0301969803019698	metabolic
GWAS: Activated partial thromboplastin time	2	0.2777	7.2020165646380985	0.0308969103089691	hematologic
GWAS: Dentate gyrus molecular layer volume	2	0.2834	7.057163020465773	0.030996900309969	nervous
GWAS: ALT levels after remission induction therapy in actute lymphoblastic leukemia (ALL)	3	0.6968	4.305396096440873	0.0328967103289671	other
GWAS: Brain connectivity	2	0.2862	6.988120195667365	0.0337966203379662	nervous
GWAS: Panic disorder	2	0.2789	7.171029042667623	0.0340965903409659	behavior
GWAS: Small cell lung carcinoma	3	0.7396	4.056246619794483	0.034996500349965	respiratory
GWAS: Alcoholic chronic pancreatitis	3	0.7252	4.136789851075566	0.034996500349965	endocrine
GWAS: Sitting height ratio	2	0.2916	6.858710562414266	0.0356964303569643	skeletal
GWAS: Neurofibrillary tangles	2	0.3499	5.715918833952558	0.0465953404659534	nervous
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)	1	0.049	20.40816326530612	0.0480951904809519	other
GWAS: Hippocampal subfield CA4 volume	2	0.372	5.376344086021505	0.0494950504949505	nervous
GWAS: Dentate gyrus granule cell layer volume	2	0.372	5.376344086021505	0.0494950504949505	nervous
GWAS: Erosive tooth wear (severe vs non-severe)	3	0.8302	3.613587087448807	0.0520947905209479	skeletal
GWAS: Circulating fibroblast growth factor 23 levels	2	0.3736	5.353319057815846	0.0528947105289471	other
GWAS: Delta-5 desaturase activity response to n3-polyunsaturated fat supplement	1	0.0571	17.513134851138354	0.0558944105589441	other
GWAS: Heart rate	2	0.3759	5.3205639797818565	0.0562943705629437	cardiovascular
GWAS: Barrett's esophagus	2	0.39	5.128205128205128	0.0568943105689431	digestive
GWAS: Ischemic stroke (large artery atherosclerosis)	2	0.394	5.076142131979696	0.0585941405859414	cardiovascular
GWAS: Total hippocampal volume	2	0.4053	4.934616333580064	0.0587941205879412	nervous
GWAS: Dysmenorrheic pain	1	0.0614	16.286644951140065	0.05999400059994	reproductive
GWAS: Cardiovascular disease risk factors	1	0.0617	16.207455429497568	0.0600939906009399	cardiovascular
GWAS: Cerebellum growth	1	0.069	14.492753623188404	0.0670932906709329	nervous
GWAS: White blood cell count (basophil)	4	1.5487	2.582811390198231	0.0696930306969303	immune
GWAS: Early onset atrial fibrillation	1	0.0736	13.58695652173913	0.070992900709929	cardiovascular
GWAS: Inflammatory biomarkers	2	0.4419	4.5259108395564605	0.0711928807119288	immune
GWAS: QRS complex (Cornell)	1	0.0768	13.020833333333334	0.0737926207379262	cardiovascular
GWAS: Congenital left-sided heart lesions	1	0.0779	12.836970474967908	0.0747925207479252	cardiovascular
GWAS: Serum total protein level	3	0.9787	3.065290691733933	0.0747925207479252	other
GWAS: Esophageal adenocarcinoma	1	0.0793	12.61034047919294	0.0766923307669233	digestive
GWAS: Schizophrenia, bipolar disorder and depression (combined)	1	0.0843	11.862396204033216	0.080991900809919	behavior
GWAS: Vitamin B levels in ischemic stroke	1	0.088	11.363636363636363	0.0827917208279172	other
GWAS: Hip circumference adjusted for BMI	4	1.6343	2.4475310530502354	0.0850914908509149	skeletal
GWAS: Cocaine dependence	1	0.0937	10.672358591248663	0.088991100889911	behavior
GWAS: Body mass index in physically inactive individuals	2	0.5011	3.9912193175014967	0.088991100889911	metabolic
GWAS: Optic nerve measurement (rim area)	1	0.0937	10.672358591248663	0.0892910708929107	nervous
GWAS: Albumin-globulin ratio	4	1.6916	2.3646252069047056	0.0905909409059094	other
GWAS: HDL cholesterol	7	3.844	1.8210197710718004	0.0918908109189081	metabolic
GWAS: Zinc levels	3	1.057	2.838221381267739	0.0935906409359064	other
GWAS: Metabolic syndrome	2	0.5097	3.9238767902687854	0.0938906109389061	metabolic
GWAS: Autism spectrum disorder or schizophrenia	10	6.1997	1.6129812732874171	0.0980901909809019	behavior
GWAS: Body mass index in physically active individuals	5	2.4207	2.065518238526046	0.0994900509949005	metabolic
GWAS: Adiposity	2	0.541	3.696857670979667	0.1012898710128987	metabolic
GWAS: Barrett's esophagus  or Esophageal adenocarcinoma	2	0.5451	3.66905155017428	0.1024897510248975	digestive
GWAS: Non-alcoholic fatty liver disease histology (lobular)	1	0.1094	9.140767824497258	0.1034896510348965	digestive
GWAS: Antibody level in response to infection	1	0.1097	9.115770282588878	0.1035896410358964	immune
GWAS: Susceptibility to persistent hepatitis B virus infection	1	0.1117	8.952551477170994	0.1058894110588941	immune
GWAS: Body mass index (joint analysis main effects and physical activity interaction)	5	2.4916	2.0067426553218817	0.1083891610838916	metabolic
GWAS: Major depressive disorder (broad)	1	0.1184	8.445945945945946	0.1127887211278872	behavior
GWAS: HDL cholesterol levels	4	1.8312	2.18435998252512	0.1134886511348865	metabolic
GWAS: Lipid traits	1	0.1226	8.156606851549755	0.1156884311568843	metabolic
GWAS: Language performance in older adults (adjusted for episodic memory)	1	0.1238	8.077544426494347	0.1171882811718828	nervous
GWAS: Nephrolithiasis	1	0.1252	7.987220447284344	0.1183881611838816	urinary
GWAS: Cholesterol efflux capacity	1	0.1248	8.012820512820513	0.118988101189881	metabolic
GWAS: Body mass index (age>50)	3	1.191	2.5188916876574305	0.1197880211978802	metabolic
GWAS: Sexual dimorphism in anthropometric traits	1	0.1319	7.581501137225171	0.1233876612338766	skeletal
GWAS: circulating leptin levels	1	0.1317	7.59301442672741	0.1234876512348765	metabolic
GWAS: Response to antidepressants (symptom improvement)	2	0.6056	3.3025099075297226	0.1243875612438756	other
GWAS: Crohn's disease	12	8.2233	1.45926817700923	0.126987301269873	immune
GWAS: Educational attainment	3	1.2302	2.438627865387742	0.126987301269873	other
GWAS: Bone fracture in osteoporosis	1	0.1405	7.117437722419928	0.130986901309869	skeletal
GWAS: Initial pursuit acceleration	5	2.6566	1.8821049461717985	0.1325867413258674	nervous
GWAS: High density lipoprotein cholesterol levels	3	1.2657	2.370229912301493	0.1327867213278672	metabolic
GWAS: Iron status biomarkers (ferritin levels)	1	0.1452	6.887052341597796	0.1354864513548645	other
GWAS: Blood trace element (Zn levels)	1	0.146	6.849315068493151	0.1374862513748625	other
GWAS: Triglyceride levels	3	1.2759	2.351281448389372	0.1376862313768623	metabolic
GWAS: Chronic kidney disease	3	1.2896	2.326302729528536	0.1421857814218578	urinary
GWAS: Bone mineral density (paediatric, lower limb)	1	0.1548	6.459948320413437	0.143985601439856	skeletal
GWAS: Late-onset Alzheimer's disease	3	1.3233	2.2670596236681027	0.1441855814418558	nervous
GWAS: Orofacial clefts	2	0.6659	3.0034539720678777	0.1448855114488551	other
GWAS: Cognitive decline rate in late mild cognitive impairment	6	3.5493	1.6904741780069308	0.1474852514748525	nervous
GWAS: Pelvic organ prolapse	2	0.6821	2.9321213898255385	0.1476852314768523	skeletal muscle
GWAS: Sulfasalazine-induced agranulocytosis	1	0.1623	6.161429451632779	0.1494850514948505	hematologic
GWAS: Biomedical quantitative traits	1	0.1623	6.161429451632779	0.1495850414958504	other
GWAS: Lipid metabolism phenotypes	1	0.1636	6.112469437652812	0.151984801519848	metabolic
GWAS: Response to quetiapine in schizophrenia	1	0.1661	6.020469596628537	0.1534846515348465	other
GWAS: Urate levels in lean individuals	2	0.7043	2.839698991906858	0.1560843915608439	metabolic
GWAS: Anticoagulant levels	1	0.1701	5.878894767783657	0.156984301569843	hematologic
GWAS: Thiopurine-induced leukopenia in inflammatory bowel disease	1	0.17	5.88235294117647	0.1571842815718428	other
GWAS: Dialysis-related mortality	2	0.7212	2.7731558513588466	0.1637836216378362	other
GWAS: Dehydroepiandrosterone sulphate levels	1	0.1838	5.44069640914037	0.1680831916808319	other
GWAS: Longitudinal change in brain amyloid plaque burden	1	0.1855	5.390835579514825	0.1688831116888311	nervous
GWAS: Atrial fibrillation	6	3.7169	1.6142484328338131	0.1703829617038296	cardiovascular
GWAS: Uterine fibroid number (single vs multiple)	2	0.7462	2.6802465826856072	0.171982801719828	reproductive
GWAS: Homocysteine levels	1	0.1902	5.257623554153523	0.1727827217278272	other
GWAS: Obesity (extreme)	2	0.772	2.5906735751295336	0.1803819618038196	metabolic
GWAS: Menopause (age at onset)	2	0.7715	2.592352559948153	0.1820817918208179	reproductive
GWAS: Strenuous sports or other exercises	1	0.2059	4.856726566294317	0.1854814518548145	behavior
GWAS: Total bilirubin levels in HIV-1 infection	1	0.2077	4.814636494944632	0.1872812718728127	digestive
GWAS: Hematocrit	5	3.0266	1.6520187669331925	0.1922807719228077	hematologic
GWAS: C-reactive protein levels or triglyceride levels (pleiotropy)	1	0.2147	4.657661853749418	0.1930806919308069	immune
GWAS: Bipolar disorder with mood-incongruent psychosis	1	0.2134	4.686035613870665	0.1937806219378062	behavior
GWAS: Iron status biomarkers	1	0.2161	4.627487274409996	0.1958804119588041	other
GWAS: Serum albumin level	1	0.2167	4.614674665436087	0.1960803919608039	other
GWAS: Response to fenofibrate (LDL cholesterol levels)	1	0.2199	4.547521600727603	0.1975802419758024	other
GWAS: Blood trace element (Se levels)	1	0.2201	4.543389368468878	0.1984801519848015	other
GWAS: Glycerophospholipid levels	1	0.2198	4.549590536851683	0.1985801419858014	metabolic
GWAS: Urinary metabolites	1	0.2196	4.553734061930784	0.1988801119888011	metabolic
GWAS: Depressive symptoms (SSRI exposure interaction)	1	0.2225	4.49438202247191	0.1994800519948005	behavior
GWAS: Lung function (forced vital capacity)	1	0.2275	4.395604395604395	0.2033796620337966	respiratory
GWAS: Recurrent major depressive disorder	1	0.2319	4.3122035360069	0.205979402059794	behavior
GWAS: Alcohol use disorder (total score)	1	0.2304	4.340277777777778	0.2064793520647935	behavior
GWAS: Osteoarthritis	1	0.2326	4.299226139294927	0.2075792420757924	skeletal
GWAS: Childhood body mass index	2	0.8366	2.390628735357399	0.2076792320767923	metabolic
GWAS: Waist-to-hip ratio adjusted for BMI (age >50)	4	2.3597	1.6951307369580877	0.2120787921207879	skeletal
GWAS: Lewy body disease	1	0.2402	4.163197335553705	0.2141785821417858	nervous
GWAS: Body mass index (SNP x SNP interaction)	1	0.2408	4.152823920265781	0.2152784721527847	metabolic
GWAS: Bone mineral density (paediatric, total body less head)	1	0.2421	4.130524576621231	0.2160783921607839	skeletal
GWAS: Age-related cataracts	1	0.2431	4.113533525298231	0.2160783921607839	integumentary
GWAS: Hypertriglyceridemia	1	0.2464	4.058441558441558	0.2195780421957804	metabolic
GWAS: Hepatitis B	1	0.2488	4.019292604501608	0.2207779222077792	immune
GWAS: Hippocampal volume in mild cognitive impairment	1	0.2544	3.930817610062893	0.222977702229777	nervous
GWAS: Hyperactive-impulsive symptoms	1	0.2516	3.97456279809221	0.2231776822317768	behavior
GWAS: Response to TNF inhibitor in rheumatoid arthritis (change in tender 28-joint count)	1	0.2513	3.979307600477517	0.2232776722327767	other
GWAS: Disrupted circadian rhythm (low relative amplitude of rest-activity cycles)	1	0.2519	3.969829297340214	0.2243775622437756	behavior
GWAS: Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	1	0.2573	3.88651379712398	0.2261773822617738	other
GWAS: Type 2 diabetes (age of onset)	3	1.6411	1.8280421668393152	0.2285771422857714	metabolic
GWAS: Cerebrospinal fluid t-tau levels in mild cognitive impairment	1	0.2636	3.793626707132018	0.2325767423257674	nervous
GWAS: Male-pattern baldness	7	4.9695	1.408592413723715	0.2328767123287671	integumentary
GWAS: Local histogram emphysema pattern	1	0.2676	3.7369207772795217	0.2352764723527647	respiratory
GWAS: Asthma exacerbations in inhaled corticosteroid treatment	1	0.2718	3.679175864606328	0.2364763523647635	respiratory
GWAS: Hip circumference	3	1.6939	1.7710608654584097	0.2368763123687631	skeletal
GWAS: Corneal structure	2	0.9313	2.1475357027810587	0.2373762623737626	nervous
GWAS: Personality traits in bipolar disorder	1	0.2757	3.627130939426913	0.2375762423757624	behavior
GWAS: Multiple system atrophy	2	0.934	2.141327623126338	0.2400759924007599	nervous
GWAS: Common carotid intima-media thickness in HIV negative individuals	2	0.9341	2.1410983834707205	0.2401759824017598	cardiovascular
GWAS: Prostate-specific antigen levels	1	0.2762	3.620564808110065	0.2428757124287571	reproductive
GWAS: Brain volume in infants (white matter)	1	0.2771	3.6088054853843374	0.2431756824317568	nervous
GWAS: Sex hormone-binding globulin levels	1	0.2822	3.543586109142452	0.2476752324767523	endocrine
GWAS: P wave terminal force	1	0.2814	3.5536602700781805	0.2478752124787521	cardiovascular
GWAS: Lean body mass	1	0.2872	3.481894150417827	0.2492750724927507	skeletal muscle
GWAS: Cardiometabolic and hematological traits	1	0.2892	3.457814661134163	0.2504749525047495	cardiovascular
GWAS: Waist-to-hip ratio adjusted for BMI	6	4.2234	1.4206563432305723	0.2512748725127487	skeletal
GWAS: Mean platelet volume	6	4.2392	1.4153613889413097	0.2521747825217478	hematologic
GWAS: C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	1	0.291	3.436426116838488	0.2530746925307469	immune
GWAS: Serum metabolite ratios in chronic kidney disease	1	0.2938	3.4036759700476518	0.253974602539746	urinary
GWAS: Dimensional psychopathology (Positive)	1	0.2923	3.421142661648991	0.254974502549745	behavior
GWAS: Femoral neck bone mineral density	2	0.9859	2.0286033066233897	0.254974502549745	skeletal
GWAS: Cerebral amyloid deposition (PET imaging)	1	0.293	3.4129692832764507	0.2562743725627437	nervous
GWAS: Interstitial lung disease	1	0.3015	3.316749585406302	0.261973802619738	respiratory
GWAS: Inflammatory skin disease	3	1.777	1.6882386043894204	0.2636736326367363	integumentary
GWAS: Red vs. brown/black hair color	1	0.3082	3.2446463335496434	0.2644735526447355	integumentary
GWAS: Melanoma	2	1.0076	1.984914648670107	0.2667733226677332	integumentary
GWAS: Social communication problems	1	0.3127	3.197953309881676	0.2682731726827317	behavior
GWAS: Metabolite levels (HVA)	1	0.3188	3.136762860727729	0.2716728327167283	metabolic
GWAS: Night sleep phenotypes	12	9.7091	1.2359538989195704	0.2720727927207279	behavior
GWAS: Chronic inflammatory diseases (pleiotropy)	4	2.6486	1.5102318205844596	0.2738726127387261	immune
GWAS: C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	1	0.3246	3.0807147258163896	0.2772722727727227	immune
GWAS: B-cell malignancies (CLL, Hodgkin lymphoma or multiple myeloma) (pleiotropy)	1	0.3286	3.0432136335970785	0.2813718628137186	immune
GWAS: Blood metabolite ratios	1	0.336	2.976190476190476	0.286971302869713	metabolic
GWAS: Laryngeal squamous cell carcinoma	1	0.3415	2.928257686676427	0.2913708629137086	other
