label	observed	mean_expected	enrichment	p_value	system
HPO: Carious teeth (HP:0000670)	6	0.9886	6.06918875177018	0.0001999800019998	skeletal
HPO: Abnormal blistering of the skin (HP:0008066)	5	0.6301	7.935248373274083	0.0002999700029997	integumentary
HPO: Aplasia cutis congenita (HP:0001057)	3	0.138	21.73913043478261	0.0002999700029997	integumentary
HPO: Abnormality of urine glucose concentration (HP:0011016)	3	0.1657	18.105009052504528	0.0002999700029997	urinary
HPO: Glycosuria (HP:0003076)	3	0.1657	18.105009052504528	0.0002999700029997	urinary
HPO: Fragile skin (HP:0001030)	3	0.2002	14.985014985014988	0.0011998800119988	integumentary
HPO: Clonus (HP:0002169)	3	0.257	11.673151750972762	0.0016998300169983	nervous
HPO: Atrophic scars (HP:0001075)	3	0.245	12.244897959183673	0.0018998100189981	integumentary
HPO: Hyperphosphaturia (HP:0003109)	2	0.0858	23.31002331002331	0.001999800019998	urinary
HPO: Milia (HP:0001056)	3	0.2573	11.65954139137194	0.0021997800219978	integumentary
HPO: Severe visual impairment (HP:0001141)	2	0.0798	25.06265664160401	0.0033996600339966	nervous
HPO: Abnormal urine phosphate concentration (HP:0012599)	2	0.1024	19.53125	0.0036996300369963	other
HPO: Prolonged bleeding time (HP:0003010)	3	0.326	9.202453987730062	0.0040995900409959	hematologic
HPO: Nail dystrophy (HP:0008404)	3	0.3087	9.718172983479109	0.0046995300469953	integumentary
HPO: Bilateral sensorineural hearing impairment (HP:0008619)	2	0.1092	18.315018315018317	0.0058994100589941	nervous
HPO: Abnormal drinking behavior (HP:0030082)	2	0.1283	15.58846453624318	0.0066993300669933	behavior
HPO: Polydipsia (HP:0001959)	2	0.1283	15.58846453624318	0.0066993300669933	other
HPO: Hypoplasia of dental enamel (HP:0006297)	3	0.374	8.02139037433155	0.0067993200679932	skeletal
HPO: Small intestinal stenosis (HP:0012848)	3	0.3763	7.972362476747276	0.0070992900709929	digestive
HPO: Duodenal stenosis (HP:0100867)	3	0.3763	7.972362476747276	0.0070992900709929	digestive
HPO: Myocardial infarction (HP:0001658)	2	0.1446	13.831258644536652	0.0097990200979902	cardiovascular
