label	observed	mean_expected	enrichment	p_value	system
GWAS: Blood metabolite ratios	3	0.2001	14.992503748125936	0.0008999100089991	metabolic
GWAS: IgE levels	2	0.0639	31.29890453834116	0.0015998400159984	immune
GWAS: Psoriasis	3	0.295	10.16949152542373	0.001999800019998	integumentary
GWAS: Progranulin levels	1	0.0037	270.27027027027026	0.0037996200379962	nervous
GWAS: Response to ziprazidone in schizophrenia	1	0.0078	128.2051282051282	0.0078992100789921	other
GWAS: Itch intensity from mosquito bite adjusted by bite size	4	0.8521	4.6942847083675625	0.0098990100989901	immune
GWAS: Mumps	1	0.0112	89.28571428571429	0.0111988801119888	immune
GWAS: Blood metabolite levels	4	0.8365	4.781829049611476	0.0111988801119888	metabolic
GWAS: Birdshot chorioretinopathy	1	0.0112	89.28571428571429	0.0112988701129887	immune
GWAS: Circulating fibroblast growth factor 23 levels	2	0.1772	11.286681715575622	0.0120987901209879	other
GWAS: Macular telangiectasia type 2	1	0.0145	68.9655172413793	0.0143985601439856	nervous
GWAS: Psoriasis vulgaris	2	0.219	9.1324200913242	0.0192980701929807	integumentary
GWAS: Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	1	0.0215	46.51162790697675	0.0214978502149785	hematologic
GWAS: Graves' disease	2	0.2361	8.470986869970352	0.0232976702329767	endocrine
GWAS: Lipoprotein-associated phospholipase A2 activity and mass	1	0.0262	38.167938931297705	0.025997400259974	metabolic
GWAS: Allergic rhinitis	4	1.1543	3.4653036472320884	0.0306969303069693	immune
GWAS: Response to taxane treatment (placlitaxel)	1	0.0317	31.54574132492113	0.0311968803119688	other
GWAS: Systemic lupus erythematosus and Systemic sclerosis	1	0.0321	31.152647975077883	0.0314968503149685	immune
GWAS: Crohn's disease	6	2.2948	2.6146069374237406	0.0322967703229677	immune
GWAS: Paclitaxel disposition in epithelial ovarian cancer	2	0.2992	6.684491978609625	0.0343965603439656	other
GWAS: Alcoholic chronic pancreatitis	2	0.2894	6.91085003455425	0.0358964103589641	endocrine
GWAS: Complement C3 and C4 levels	1	0.0363	27.548209366391184	0.035996400359964	immune
GWAS: Metabolite levels	3	0.7119	4.214075010535188	0.036996300369963	metabolic
GWAS: Glomerular filtration rate (cystatin C)	1	0.0385	25.97402597402597	0.0372962703729627	hematologic
GWAS: IgA nephropathy	2	0.2999	6.668889629876626	0.0373962603739626	immune
GWAS: Obstructive sleep apnea during REM sleep (apnea hypopnea index)	1	0.0379	26.38522427440633	0.0375962403759624	other
GWAS: L-arginine levels	1	0.0387	25.839793281653748	0.0383961603839616	other
GWAS: HIV-1 control	1	0.0397	25.188916876574307	0.0391960803919608	immune
GWAS: Plasma homocysteine levels (post-methionine load test)	1	0.0405	24.69135802469136	0.0392960703929607	other
GWAS: Prostate cancer	4	1.2804	3.124023742580444	0.0394960503949605	reproductive
GWAS: PCA3 expression level	1	0.0449	22.271714922049	0.0438956104389561	other
GWAS: Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)	1	0.0455	21.978021978021975	0.0448955104489551	endocrine
GWAS: Pulmonary function decline	2	0.3455	5.788712011577425	0.0456954304569543	respiratory
GWAS: Cancer	2	0.3434	5.824111822947001	0.0465953404659534	other
GWAS: Serum metabolite levels	2	0.3339	5.989817310572028	0.0467953204679532	metabolic
GWAS: Dehydroepiandrosterone sulphate levels	1	0.0507	19.72386587771203	0.0494950504949505	other
GWAS: Serum metabolite ratios in chronic kidney disease	1	0.0583	17.152658662092627	0.0565943405659434	urinary
GWAS: Depression in smokers	2	0.3915	5.108556832694764	0.056994300569943	behavior
GWAS: Prostate cancer (early onset)	1	0.059	16.949152542372882	0.0571942805719428	reproductive
GWAS: Systolic blood pressure x smoking status (current vs non-current) interaction (1df test)	1	0.0588	17.006802721088437	0.0572942705729427	cardiovascular
GWAS: Lipid metabolism phenotypes	1	0.0598	16.722408026755854	0.0582941705829417	metabolic
GWAS: Clinical laboratory measurements	1	0.0608	16.44736842105263	0.0598940105989401	other
GWAS: Beta-2 microglubulin plasma levels	1	0.0621	16.10305958132045	0.0611938806119388	immune
GWAS: Amino acid levels	1	0.0638	15.673981191222571	0.0620937906209379	other
GWAS: Malaria	1	0.0639	15.64945226917058	0.0626937306269373	immune
GWAS: Hippocampal volume in mild cognitive impairment	1	0.0652	15.337423312883438	0.0640935906409359	nervous
GWAS: Lymphocyte counts	3	0.9023	3.324836528870664	0.0641935806419358	lymphatic
GWAS: Sex hormone levels	1	0.067	14.925373134328357	0.0648935106489351	endocrine
GWAS: Cold sores	1	0.0707	14.144271570014144	0.0687931206879312	immune
GWAS: Corneal curvature	1	0.0726	13.774104683195592	0.0695930406959304	nervous
GWAS: Accelerated cognitive decline after conversion of MCI to Alzheimer's disease	1	0.0719	13.908205841446453	0.0700929907009299	nervous
GWAS: Platelet distribution width	3	0.9553	3.140374751386999	0.070992900709929	hematologic
GWAS: Tumor biomarkers	1	0.0724	13.812154696132596	0.070992900709929	immune
GWAS: Iron status biomarkers (ferritin levels)	1	0.0751	13.315579227696404	0.0734926507349265	other
GWAS: Abdominal aortic aneurysm	1	0.0782	12.78772378516624	0.0740925907409259	cardiovascular
GWAS: Low vWF levels	1	0.078	12.82051282051282	0.0760923907609239	hematologic
GWAS: Liver enzyme levels (alkaline phosphatase)	1	0.0782	12.78772378516624	0.0763923607639236	other
GWAS: Childhood ear infection	2	0.4813	4.15541242468315	0.0768923107689231	immune
GWAS: Lipid traits	1	0.0792	12.626262626262625	0.0774922507749225	metabolic
GWAS: Plantar warts	1	0.08	12.5	0.0776922307769223	integumentary
GWAS: Liver enzyme levels	1	0.0815	12.269938650306749	0.0792920707929207	other
GWAS: Blood protein levels	9	5.2102	1.7273809066830446	0.0797920207979202	other
GWAS: Serum thyroid-stimulating hormone levels	2	0.4736	4.222972972972973	0.0813918608139186	endocrine
GWAS: Parental longevity (father's attained age)	1	0.0857	11.668611435239209	0.0832916708329167	other
GWAS: Survival in sporadic amyotrophic lateral sclerosis	1	0.0879	11.376564277588168	0.0844915508449155	other
GWAS: Nasopharyngeal carcinoma	1	0.0881	11.350737797956867	0.084991500849915	other
GWAS: Thrombosis	1	0.09	11.11111111111111	0.0866913308669133	hematologic
