label	observed	mean_expected	enrichment	p_value	system
HPO: Polygenic inheritance (HP:0010982)	2	0.0419	47.7326968973747	0.0007999200079992	other
HPO: Multifactorial inheritance (HP:0001426)	2	0.049	40.81632653061224	0.0011998800119988	other
HPO: Bronchitis (HP:0012387)	3	0.2041	14.698677119059283	0.0013998600139986	respiratory
HPO: Hypertelorism (HP:0000316)	8	2.1829	3.6648495121169087	0.0020997900209979	skeletal
HPO: Thick lower lip vermilion (HP:0000179)	5	0.8821	5.668291576918716	0.0026997300269973	integumentary
HPO: Epicanthus (HP:0000286)	6	1.4233	4.215555399423874	0.0036996300369963	integumentary
HPO: Round face (HP:0000311)	4	0.6328	6.321112515802781	0.0037996200379962	skeletal
HPO: Pointed chin (HP:0000307)	4	0.6323	6.326111023248458	0.0038996100389961	skeletal
HPO: Long philtrum (HP:0000343)	6	1.4951	4.013109491003946	0.0061993800619938	integumentary
HPO: Low anterior hairline (HP:0000294)	3	0.4043	7.420232500618352	0.0074992500749925	integumentary
HPO: Narrow forehead (HP:0000341)	3	0.3985	7.528230865746549	0.0075992400759924	skeletal
HPO: Constricted visual fields (HP:0001133)	2	0.1309	15.278838808250574	0.0081991800819918	nervous
HPO: Short chin (HP:0000331)	2	0.1291	15.49186676994578	0.0083991600839916	skeletal
HPO: Periorbital edema (HP:0100539)	3	0.4585	6.543075245365322	0.0091990800919908	other
HPO: Facial edema (HP:0000282)	3	0.4585	6.543075245365322	0.0091990800919908	immune
HPO: Palpebral edema (HP:0100540)	2	0.1372	14.57725947521866	0.0093990600939906	nervous
HPO: Chronic bronchitis (HP:0004469)	2	0.1436	13.927576601671309	0.0108989101089891	respiratory
HPO: Abnormality of secondary sexual hair (HP:0009888)	1	0.0115	86.95652173913044	0.0114988501149885	integumentary
HPO: Abnormality of the axillary hair (HP:0100134)	1	0.0115	86.95652173913044	0.0114988501149885	integumentary
HPO: Low posterior hairline (HP:0002162)	3	0.4706	6.374840628984275	0.0116988301169883	integumentary
HPO: Long face (HP:0000276)	3	0.4591	6.53452406883032	0.0118988101189881	skeletal
HPO: Lymphopenia (HP:0001888)	2	0.1813	11.031439602868176	0.0135986401359864	lymphatic
HPO: Systemic lupus erythematosus (HP:0002725)	1	0.0142	70.4225352112676	0.0142985701429857	immune
HPO: Umbilical hernia (HP:0001537)	4	0.9434	4.239983040067839	0.0151984801519848	reproductive
HPO: Abnormal drinking behavior (HP:0030082)	1	0.0166	60.24096385542168	0.0164983501649835	behavior
HPO: Polydipsia (HP:0001959)	1	0.0166	60.24096385542168	0.0164983501649835	other
HPO: Depressed nasal bridge (HP:0005280)	4	0.9869	4.053095551727632	0.0174982501749825	skeletal
HPO: High palate (HP:0000218)	4	1.0268	3.895597974289053	0.018998100189981	skeletal
HPO: Rib fusion (HP:0000902)	2	0.2139	9.350163627863488	0.0190980901909809	skeletal
HPO: Abnormal number of incisors (HP:0011064)	2	0.2146	9.319664492078283	0.0192980701929807	skeletal
HPO: Thoracic kyphosis (HP:0002942)	2	0.2191	9.128251939753538	0.0204979502049795	skeletal
HPO: Vertebral arch anomaly (HP:0008438)	2	0.2236	8.94454382826476	0.0208979102089791	skeletal
HPO: Abnormality of the thoracic spine (HP:0100711)	2	0.2247	8.900756564307965	0.0211978802119788	skeletal
HPO: Oligodontia (HP:0000677)	2	0.2268	8.818342151675484	0.0212978702129787	skeletal
