label	observed	mean_expected	enrichment	p_value	system
GWAS: Pancreatic ductal adenocarcinoma	3	0.081	37.03703703703704	9.999000099990002e-05	endocrine
GWAS: Blood metabolite levels	8	1.2882	6.210215804999224	0.0001999800019998	metabolic
GWAS: Lead levels in blood	4	0.5337	7.494847292486416	0.0020997900209979	other
GWAS: Intrinsic epigenetic age acceleration	2	0.1349	14.825796886582657	0.0075992400759924	other
GWAS: Plateletcrit	9	3.4263	2.6267402153926978	0.0083991600839916	hematologic
GWAS: Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	1	0.0087	114.9425287356322	0.0087991200879912	integumentary
GWAS: Urate levels in obese individuals	5	1.2753	3.920646122480985	0.0094990500949905	metabolic
GWAS: Delta-5 desaturase activity response to n3-polyunsaturated fat supplement	1	0.0105	95.23809523809524	0.0104989501049895	other
GWAS: Subjective response to lithium treatment	2	0.188	10.638297872340424	0.0144985501449855	other
GWAS: Crohn's disease (time to surgery)	1	0.0156	64.1025641025641	0.0155984401559844	immune
GWAS: Optic disc area	3	0.5454	5.5005500550055	0.0164983501649835	nervous
GWAS: Suicide risk	2	0.2139	9.350163627863488	0.016998300169983	behavior
GWAS: Serum metabolite levels	3	0.5582	5.374417771408097	0.0194980501949805	metabolic
GWAS: Type 1 diabetes	4	1.0144	3.943217665615142	0.01999800019998	metabolic
GWAS: Inflammatory bowel disease	11	5.2299	2.1032906938947207	0.0205979402059794	digestive
GWAS: Egg allergy (maternal genetic effects)	1	0.0229	43.66812227074236	0.0225977402259774	immune
GWAS: Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	1	0.0253	39.52569169960474	0.0250974902509749	hematologic
GWAS: Celiac disease or Rheumatoid arthritis	2	0.2636	7.587253414264036	0.0288971102889711	digestive
GWAS: Chronic hepatitis B infection	1	0.0324	30.8641975308642	0.031996800319968	immune
GWAS: Ulcerative colitis	8	3.6281	2.205010887241256	0.0325967403259674	digestive
GWAS: Idiopathic membranous nephropathy	1	0.0333	30.030030030030023	0.0330966903309669	urinary
GWAS: Circulating phylloquinone levels	1	0.0366	27.3224043715847	0.0362963703629637	other
GWAS: Glioblastoma (age-stratified)	1	0.0404	24.752475247524757	0.0393960603939606	nervous
