label	observed	mean_expected	enrichment	p_value	system
HPO: Difficulty climbing stairs (HP:0003551)	3	0.0844	35.54502369668246	9.999000099990002e-05	other
HPO: Thin bony cortex (HP:0002753)	2	0.0448	44.642857142857146	0.0006999300069993	skeletal
HPO: Rapidly progressive (HP:0003678)	3	0.2143	13.999066728884742	0.0010998900109989	other
HPO: Hypermelanotic macule (HP:0001034)	4	0.5567	7.185198491108317	0.0021997800219978	integumentary
HPO: Adenoma sebaceum (HP:0009720)	2	0.0863	23.17497103128621	0.0033996600339966	integumentary
HPO: Angiofibromas (HP:0010615)	2	0.0863	23.17497103128621	0.0033996600339966	cardiovascular
HPO: Blepharitis (HP:0000498)	2	0.0938	21.32196162046909	0.0034996500349965	nervous
HPO: Bone marrow hypocellularity (HP:0005528)	3	0.3077	9.7497562560936	0.0037996200379962	other
HPO: Abnormal urine output (HP:0012590)	2	0.09	22.22222222222222	0.0042995700429957	urinary
HPO: Hypopigmented skin patches (HP:0001053)	4	0.6076	6.583278472679394	0.0043995600439956	integumentary
HPO: Abnormality of the lower motor neuron (HP:0002366)	2	0.1114	17.953321364452425	0.0060993900609939	nervous
HPO: Lymphangioma (HP:0100764)	2	0.1337	14.958863126402392	0.0067993200679932	lymphatic
HPO: Abnormality of renal excretion (HP:0011036)	2	0.1238	16.155088852988694	0.006999300069993	urinary
HPO: Hamartoma of the eye (HP:0010568)	2	0.1336	14.97005988023952	0.0070992900709929	nervous
HPO: Episodic fever (HP:0001954)	2	0.1302	15.360983102918585	0.0073992600739926	other
HPO: Wide cranial sutures (HP:0010537)	2	0.1384	14.450867052023122	0.0076992300769923	skeletal
HPO: Abnormality of the anterior chamber (HP:0000593)	2	0.1442	13.869625520110958	0.0087991200879912	nervous
HPO: Renal cell carcinoma (HP:0005584)	3	0.4538	6.610841780520053	0.0096990300969903	urinary
HPO: Skin nodule (HP:0200036)	2	0.1475	13.559322033898306	0.0098990100989901	integumentary
HPO: Aortic valve stenosis (HP:0001650)	2	0.1688	11.848341232227488	0.0106989301069893	cardiovascular
HPO: Abnormal cortical bone morphology (HP:0003103)	3	0.4558	6.581834137779728	0.0108989101089891	skeletal
HPO: Visceral angiomatosis (HP:0100761)	2	0.1576	12.69035532994924	0.0108989101089891	skeletal
HPO: Joint swelling (HP:0001386)	2	0.1708	11.7096018735363	0.0114988501149885	skeletal
HPO: Joint stiffness (HP:0001387)	2	0.1708	11.7096018735363	0.0124987501249875	skeletal
HPO: Conjunctival hamartoma (HP:0100780)	1	0.0137	72.99270072992701	0.0137986201379862	skeletal muscle
HPO: Uterine neoplasm (HP:0010784)	3	0.5021	5.974905397331209	0.0142985701429857	reproductive
HPO: Hemangiomatosis (HP:0007461)	2	0.1847	10.828370330265296	0.0148985101489851	cardiovascular
HPO: Lumbar hyperlordosis (HP:0002938)	3	0.5171	5.8015857667762525	0.0153984601539846	skeletal
HPO: Sensorimotor neuropathy (HP:0007141)	2	0.196	10.20408163265306	0.0167983201679832	nervous
HPO: Megalocornea (HP:0000485)	2	0.1992	10.040160642570282	0.0175982401759824	nervous
HPO: Alopecia of scalp (HP:0002293)	1	0.0188	53.191489361702125	0.0187981201879812	integumentary
HPO: Sacral dimple (HP:0000960)	3	0.5661	5.299417064122946	0.0192980701929807	integumentary
HPO: Abnormality of the musculature of the hand (HP:0001421)	2	0.2166	9.233610341643583	0.0198980101989801	skeletal muscle
HPO: Melanoma (HP:0002861)	2	0.2083	9.601536245799329	0.0201979802019798	integumentary
HPO: Poor speech (HP:0002465)	2	0.2306	8.673026886383347	0.0204979502049795	other
HPO: Abnormal blistering of the skin (HP:0008066)	3	0.5794	5.177770107007249	0.0207979202079792	integumentary
HPO: Exostoses (HP:0100777)	2	0.2181	9.170105456212749	0.0208979102089791	skeletal
HPO: Highly arched eyebrow (HP:0002553)	4	1.0508	3.806623524933384	0.0208979102089791	integumentary
HPO: Leukopenia (HP:0001882)	3	0.6111	4.909180166912126	0.0213978602139786	immune
HPO: Abnormality of the motor neurons (HP:0002450)	2	0.2254	8.873114463176575	0.0223977602239776	nervous
HPO: Abnormal neuron morphology (HP:0012757)	2	0.2254	8.873114463176575	0.0223977602239776	nervous
HPO: Autoimmune thrombocytopenia (HP:0001973)	1	0.024	41.66666666666666	0.0237976202379762	immune
HPO: Exercise-induced myalgia (HP:0003738)	1	0.0283	35.3356890459364	0.0278972102789721	skeletal muscle
HPO: Intellectual disability, mild (HP:0001256)	3	0.6528	4.595588235294118	0.0292970702929707	nervous
HPO: Back pain (HP:0003418)	1	0.0311	32.154340836012864	0.0305969403059694	skeletal
HPO: Neoplasm of the pancreas (HP:0002894)	2	0.2791	7.165890361877463	0.0305969403059694	digestive
HPO: Hypotension (HP:0002615)	2	0.2759	7.249003262051469	0.0312968703129687	cardiovascular
HPO: Cafe-au-lait spot (HP:0000957)	3	0.6747	4.44642063139173	0.0314968503149685	integumentary
HPO: Premature birth (HP:0001622)	3	0.6832	4.391100702576113	0.0327967203279672	reproductive
HPO: Prominent nose (HP:0000448)	2	0.2833	7.059654076950229	0.0340965903409659	skeletal
HPO: Benign neoplasm of the central nervous system (HP:0100835)	2	0.2916	6.858710562414266	0.0351964803519648	nervous
HPO: Deep venous thrombosis (HP:0002625)	1	0.0366	27.3224043715847	0.0355964403559644	hematologic
HPO: Increased intracranial pressure (HP:0002516)	2	0.2921	6.846970215679561	0.0356964303569643	nervous
HPO: Abnormality of intracranial pressure (HP:0012640)	2	0.2921	6.846970215679561	0.0356964303569643	nervous
HPO: Limb-girdle muscle atrophy (HP:0003797)	1	0.037	27.027027027027028	0.0364963503649635	skeletal muscle
HPO: Asymmetry of the thorax (HP:0001555)	1	0.0389	25.706940874035997	0.037996200379962	skeletal
HPO: Abnormality of the vocal cords (HP:0008777)	1	0.0384	26.041666666666668	0.0382961703829617	other
HPO: Cerebral cortical atrophy (HP:0002120)	5	1.8139	2.75649153757098	0.0395960403959604	nervous
