GWAS_term	system
GWAS: Beta2-Glycoprotein I plasma levels	hematologic
"GWAS: 1,5-anhydroglucitol levels"	other
GWAS: AIDS progression	immune
GWAS: Abdominal aortic aneurysm	cardiovascular
GWAS: Ability to confide in someone	behavior
GWAS: Accelerated cognitive decline after conversion of MCI to Alzheimer's disease	nervous
GWAS: Accelerometer-based physical activity measurement (average acceleration)	skeletal muscle
GWAS: Acne (severe)	integumentary
GWAS: Activated partial thromboplastin time	hematologic
GWAS: Acute graft versus host disease in bone marrow transplantation (recipient effect)	other
GWAS: Acute insulin response	metabolic
GWAS: Acute lymphoblastic leukemia (B-cell precursor)	lymphatic
GWAS: Acute lymphoblastic leukemia (childhood)	lymphatic
GWAS: Acute lymphoblastic leukemia in childhood (B cell precursor)	lymphatic
GWAS: Acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced)	other
GWAS: Acylcarnitine levels	other
GWAS: Adiponectin levels	other
GWAS: Adiposity	metabolic
GWAS: Adolescent idiopathic scoliosis	skeletal
GWAS: Adult asthma	respiratory
GWAS: Advanced age-related macular degeneration	nervous
GWAS: Advanced glycation end-product levels	metabolic
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine)	other
GWAS: Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin)	other
