HPO_term	system
HPO: Abnormality of B cell number (HP:0010975)	lymphatic
HPO: B lymphocytopenia (HP:0010976)	lymphatic
HPO: Hypobetalipoproteinemia (HP:0003563)	metabolic
HPO: Gastrointestinal atresia (HP:0002589)	digestive
HPO: Birth length less than 3rd percentile (HP:0003561)	skeletal
HPO: Peritonitis (HP:0002586)	digestive
HPO: Abnormality of the peritoneum (HP:0002585)	digestive
HPO: Colitis (HP:0002583)	digestive
HPO: Volvulus (HP:0002580)	digestive
HPO: Elevated erythrocyte sedimentation rate (HP:0003565)	hematologic
HPO: Obsessive-compulsive behavior (HP:0000722)	behavior
HPO: Dementia (HP:0000726)	nervous
HPO: Abnormal eating behavior (HP:0100738)	behavior
HPO: Generalized aminoaciduria (HP:0002909)	urinary
HPO: Conjugated hyperbilirubinemia (HP:0002908)	digestive
HPO: Muscular dystrophy (HP:0003560)	skeletal muscle
HPO: Hyponatremia (HP:0002902)	other
HPO: Hypocalcemia (HP:0002901)	other
HPO: Hypokalemia (HP:0002900)	other
HPO: Hypertensive crisis (HP:0100735)	cardiovascular
HPO: Hyperphosphatemia (HP:0002905)	other
HPO: Hyperbilirubinemia (HP:0002904)	digestive
HPO: Flat acetabular roof (HP:0003180)	skeletal
HPO: Upper limb amyotrophy (HP:0009129)	nervous
HPO: Breast hypoplasia (HP:0003187)	reproductive
HPO: Long nose (HP:0003189)	skeletal
HPO: Aplasia/Hypoplasia involving the sinuses (HP:0009120)	other
HPO: Abnormality of the femoral head (HP:0003368)	skeletal
HPO: Spina bifida occulta (HP:0003298)	skeletal
HPO: Abdominal situs inversus (HP:0003363)	other
HPO: Hemorrhage of the eye (HP:0011885)	cardiovascular
HPO: Abnormality of the vitreous humor (HP:0004327)	nervous
HPO: Abnormal isoelectric focusing of serum transferrin (HP:0003160)	other
HPO: Elevated circulating parathyroid hormone (PTH) level (HP:0003165)	endocrine
HPO: Embryonal renal neoplasm (HP:0011794)	urinary
HPO: Abnormal umbilical cord blood vessels (HP:0011403)	cardiovascular
HPO: Action tremor (HP:0002345)	nervous
HPO: Progressive neurologic deterioration (HP:0002344)	nervous
HPO: Abnormality of placental membranes (HP:0011409)	reproductive
"HPO: Intellectual disability, moderate (HP:0002342)"	nervous
HPO: Impaired vibration sensation in the lower limbs (HP:0002166)	nervous
HPO: Low posterior hairline (HP:0002162)	integumentary
HPO: Calf muscle hypertrophy (HP:0008981)	skeletal muscle
HPO: Scanning speech (HP:0002168)	nervous
HPO: Cutaneous melanoma (HP:0012056)	integumentary
HPO: Sepsis (HP:0100806)	immune
HPO: Constipation (HP:0002019)	digestive
HPO: Nausea (HP:0002018)	other
HPO: Aplasia/Hypoplasia of the earlobes (HP:0009906)	integumentary
HPO: Vomiting (HP:0002013)	digestive
HPO: Dysphagia (HP:0002015)	digestive
HPO: Pancreatic fibrosis (HP:0100732)	digestive
HPO: Attenuation of retinal blood vessels (HP:0007843)	cardiovascular
HPO: Transposition of the great arteries (HP:0001669)	cardiovascular
HPO: Ventricular fibrillation (HP:0001663)	cardiovascular
HPO: Bradycardia (HP:0001662)	cardiovascular
HPO: Opisthotonus (HP:0002179)	skeletal muscle
HPO: Truncus arteriosus (HP:0001660)	cardiovascular
HPO: Abnormality of the distal phalanx of the thumb (HP:0009617)	skeletal
HPO: Ankle contracture (HP:0006466)	skeletal muscle
HPO: Generalized hyperpigmentation (HP:0007440)	integumentary
HPO: Abnormality of the aortic arch (HP:0012303)	cardiovascular
HPO: Bowing of the arm (HP:0006488)	skeletal
HPO: Abnormality of primary teeth (HP:0006481)	skeletal
HPO: Abnormality of the dental root (HP:0006486)	skeletal
HPO: Concave nail (HP:0001598)	integumentary
HPO: Bell-shaped thorax (HP:0001591)	skeletal
HPO: Selective tooth agenesis (HP:0001592)	skeletal
HPO: Neoplasm of striated muscle (HP:0009728)	skeletal muscle
HPO: Striae distensae (HP:0001065)	integumentary
HPO: Adenoma sebaceum (HP:0009720)	integumentary
HPO: Acne (HP:0001061)	integumentary
HPO: Acrocyanosis (HP:0001063)	integumentary
HPO: Bladder neoplasm (HP:0009725)	urinary
