Set	Ontology	Term	Observed	Mean Expected N Genes	Enrichment	P Value	System
Altai	GWAS	Blood metabolite ratios	7	0.401	17.4563591	1.00E-04	metabolic
Altai	GWAS	Blood metabolite levels	9	1.6601	5.421360159	1.00E-04	metabolic
Altai	GWAS	Metabolic traits	5	0.4846	10.31778787	0.00019998	metabolic
Altai	GWAS	Malaria	3	0.0632	47.46835443	0.00019998	immune
Altai	GWAS	Liver enzyme levels (alkaline phosphatase)	4	0.3757	10.64679265	0.00069993	other
Altai	GWAS	Urinary metabolites (H-NMR features)	3	0.1475	20.33898305	0.00079992	metabolic
Altai	GWAS	Elevated serum carcinoembryonic antigen levels	2	0.0493	40.56795132	0.00089991	other
Altai	GWAS	Tumor biomarkers	2	0.0515	38.83495146	0.0009999	immune
Altai	GWAS	Thrombosis	3	0.1576	19.03553299	0.0009999	hematologic
Altai	GWAS	Ischemic stroke	6	1.235	4.858299595	0.00129987	cardiovascular
Altai	GWAS	White blood cell count	11	3.5726	3.078990091	0.00149985	immune
Altai	GWAS	Blood protein levels	34	19.4266	1.750177592	0.00149985	other
Altai	GWAS	Ulcerative colitis	14	5.4511	2.568288969	0.00159984	digestive
Altai	GWAS	Alzheimer's disease (late onset)	9	2.8732	3.132395935	0.00239976	nervous
Altai	GWAS	Coagulation factor levels	2	0.0883	22.65005663	0.00269973	hematologic
Altai	GWAS	Stroke	6	1.4075	4.262877442	0.00349965	cardiovascular
Altai	GWAS	Urinary metabolite concentrations in chronic kidney disease	4	0.6166	6.487187804	0.00359964	metabolic
Altai	GWAS	Response to metformin (IC50)	2	0.0929	21.5285253	0.00369963	other
Altai	GWAS	Monocyte count	9	3.118	2.886465683	0.00589941	immune
Altai	GWAS	Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	2	0.1093	18.29826167	0.00639936	other
Altai	GWAS	Serum metabolite levels	4	0.6979	5.731480155	0.00649935	metabolic
Altai	GWAS	Calcium levels	6	1.6339	3.672195361	0.00649935	other
Altai	GWAS	Prostate cancer	11	4.4667	2.462668189	0.00669933	reproductive
Altai	GWAS	Venous thromboembolism	3	0.3952	7.591093117	0.00719928	hematologic
Altai	GWAS	Clinical laboratory measurements	2	0.1342	14.90312966	0.0079992	other
Altai	GWAS	Common carotid intima-media thickness in HIV negative individuals	5	1.2581	3.97424688	0.00929907	cardiovascular
