Name	Num_Transcripts
MIR1302-2HG	2
FAM138A	2
OR4F5	1
ENSG00000238009	5
ENSG00000239945	1
ENSG00000239906	1
ENSG00000241860	6
ENSG00000241599	1
ENSG00000286448	1
ENSG00000236601	3
OR4F29	1
ENSG00000235146	2
OR4F16	1
ENSG00000229905	1
LINC01409	32
FAM87B	1
LINC01128	38
LINC00115	1
ENSG00000288531	2
FAM41C	3
ENSG00000272438	1
ENSG00000230699	1
ENSG00000241180	1
LINC02593	3
SAMD11	15
NOC2L	6
KLHL17	4
PLEKHN1	5
PERM1	4
ENSG00000272512	1
HES4	4
ISG15	3
ENSG00000224969	1
AGRN	10
ENSG00000242590	1
ENSG00000273443	1
RNF223	1
C1orf159	19
ENSG00000285812	1
LINC01342	1
ENSG00000272141	1
TTLL10-AS1	1
TTLL10	8
TNFRSF18	4
TNFRSF4	3
SDF4	8
B3GALT6	1
C1QTNF12	5
ENSG00000260179	1
UBE2J2	20
LINC01786	2
SCNN1D	8
ACAP3	13
PUSL1	5
INTS11	49
ENSG00000240731	1
CPTP	3
TAS1R3	1
DVL1	7
MXRA8	10
AURKAIP1	6
CCNL2	19
MRPL20-AS1	21
MRPL20	6
MRPL20-DT	1
ANKRD65	5
ANKRD65-AS1	1
TMEM88B	1
LINC01770	4
VWA1	4
ATAD3C	3
ATAD3B	6
ATAD3A	8
TMEM240	3
SSU72	4
ENSG00000215014	2
FNDC10	1
ENSG00000286989	1
ENSG00000272106	1
MIB2	32
MMP23B	10
CDK11B	9
ENSG00000272004	1
SLC35E2B	5
CDK11A	23
ENSG00000268575	1
NADK	17
GNB1	10
GNB1-DT	4
CALML6	4
TMEM52	6
CFAP74	10
ENSG00000233542	2
GABRD	19
PRKCZ-DT	2
PRKCZ	26
ENSG00000271806	1
PRKCZ-AS1	2
FAAP20	15
ENSG00000234396	1
SKI	4
ENSG00000287356	2
MORN1	11
ENSG00000272161	1
ENSG00000272420	1
RER1	9
PEX10	9
PLCH2	8
ENSG00000224387	1
ENSG00000229393	1
PANK4	12
HES5	1
ENSG00000272449	2
TNFRSF14-AS1	6
TNFRSF14	16
ENSG00000228037	1
ENSG00000289610	1
PRXL2B	15
MMEL1	9
MMEL1-AS1	1
TTC34	2
ENSG00000285945	1
ENSG00000283259	1
ENSG00000233234	1
ENSG00000287396	1
ENSG00000231630	1
ENSG00000284745	2
ACTRT2	1
PRDM16-DT	10
PRDM16	10
ENSG00000226286	1
ENSG00000272235	1
ENSG00000287828	1
ENSG00000286518	1
ARHGEF16	7
ENSG00000272088	1
MEGF6	7
ENSG00000238260	8
TPRG1L	2
WRAP73	10
TP73	14
TP73-AS3	1
TP73-AS2	1
CCDC27	3
SMIM1	4
LRRC47	3
ENSG00000272153	1
CEP104	26
DFFB	11
C1orf174	11
LINC01134	6
LINC01346	4
LINC01345	4
LINC02780	3
ENSG00000284703	1
LINC01777	13
ENSG00000284694	1
ENSG00000227169	1
LINC01646	8
AJAP1	3
ENSG00000287586	2
ENSG00000284739	1
LINC02781	1
LINC02782	1
ENSG00000284616	1
ENSG00000284692	3
ENSG00000284666	1
ENSG00000260972	1
ENSG00000236948	2
NPHP4	11
KCNAB2	48
CHD5	6
ENSG00000285629	1
RPL22	7
RNF207-AS1	1
RNF207	9
ICMT	4
ICMT-DT	3
HES3	1
GPR153	1
ACOT7	10
ENSG00000271746	1
HES2	6
ESPN	16
ENSG00000231868	1
TNFRSF25	21
PLEKHG5	29
NOL9	5
TAS1R1	4
ZBTB48	8
KLHL21	5
PHF13	2
THAP3	8
DNAJC11	25
LINC01672	6
ENSG00000284744	1
CAMTA1-DT	1
CAMTA1	16
ENSG00000237365	1
CAMTA1-IT1	1
CAMTA1-AS2	2
CAMTA1-AS1	1
ENSG00000270171	1
ENSG00000270035	1
ENSG00000269978	1
VAMP3	3
ENSG00000269925	1
PER3	9
ENSG00000236266	1
UTS2	3
TNFRSF9	5
PARK7	10
ENSG00000284747	2
ENSG00000284716	1
ERRFI1	5
ERRFI1-DT	1
ENSG00000288816	1
LINC01714	3
ENSG00000233645	1
SLC45A1	4
RERE	20
RERE-AS1	3
ENSG00000228423	1
ENO1	16
ENO1-AS1	1
CA6	6
SLC2A7	1
SLC2A5	10
GPR157	3
MIR34AHG	4
LNCTAM34A	6
H6PD	3
SPSB1	4
ENSG00000284652	1
LINC02606	4
ENSG00000235263	1
SLC25A33	1
TMEM201	5
PIK3CD	6
PIK3CD-AS1	1
PIK3CD-AS2	1
CLSTN1	6
CTNNBIP1	4
ENSG00000223989	1
ENSG00000285701	1
LZIC	5
ENSG00000228150	1
NMNAT1	5
ENSG00000241326	1
RBP7	2
UBE4B	10
KIF1B	22
ENSG00000284735	3
ENSG00000284642	4
PGD	10
ENSG00000271989	1
CENPS-CORT	5
CENPS	5
CORT	1
DFFA	3
ENSG00000203469	1
PEX14	4
ENSG00000287727	1
CASZ1	9
ENSG00000272078	1
C1orf127	5
TARDBP	38
MASP2	4
SRM	6
EXOSC10	11
ENSG00000226849	1
EXOSC10-AS1	2
MTOR	7
MTOR-AS1	2
ANGPTL7	2
UBIAD1	4
ENSG00000284646	1
DISP3	3
ENSG00000285833	1
LINC01647	1
ENSG00000284708	1
FBXO2	6
FBXO44	9
FBXO6	3
MAD2L2	9
DRAXIN	1
AGTRAP	14
C1orf167	8
C1orf167-AS1	1
MTHFR	19
CLCN6	10
NPPA	2
NPPB	1
ENSG00000285646	6
KIAA2013	3
PLOD1	9
ENSG00000287384	1
MFN2	33
MIIP	7
TNFRSF8	5
ENSG00000285604	1
TNFRSF1B	4
VPS13D	20
LINC02766	3
DHRS3	4
ENSG00000288927	6
ENSG00000272482	1
AADACL4	1
AADACL3	2
CFAP107	3
PRAMEF12	1
PRAMEF1	2
LINC01784	1
PRAMEF11	1
HNRNPCL1	1
PRAMEF2	1
PRAMEF4	1
PRAMEF10	1
PRAMEF7	2
PRAMEF6	2
PRAMEF27	1
HNRNPCL3	2
PRAMEF25	2
HNRNPCL2	1
ENSG00000233336	1
PRAMEF26	1
HNRNPCL4	1
PRAMEF9	1
PRAMEF13	2
PRAMEF18	1
PRAMEF5	1
PRAMEF8	3
PRAMEF33	1
PRAMEF15	1
ENSG00000228229	1
PRAMEF14	2
PRAMEF19	1
PRAMEF17	1
PRAMEF20	1
LRRC38	1
ENSG00000259961	1
PDPN	11
ENSG00000237445	1
PRDM2	14
ENSG00000289380	1
KAZN	9
ENSG00000231606	2
KAZN-AS1	7
ENSG00000287756	1
TMEM51-AS1	6
TMEM51	6
TMEM51-AS2	2
FHAD1	24
FHAD1-AS1	1
ENSG00000236045	1
EFHD2-AS1	2
EFHD2	2
CTRC	4
CELA2A	3
CELA2B	4
CASP9	11
DNAJC16	10
